L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
0.68,1.62,0.34,1.02,1.15,0.48,0.0,1.06,6.35,0.68,0.34,0.68,1.02,0.67,0.29,0.29,0.2,4.17,0
0.68,1.62,0.34,1.11,1.25,0.58,0.2,1.25,7.030000000000001,0.77,0.0,0.51,1.02,0.58,0.2,0.29,0.96,4.33,0
0.68,1.45,0.34,0.94,1.15,0.58,2.68,3.16,10.98,0.6,0.0,0.68,1.28,0.58,0.1,7.65,8.8,19.69,0
0.68,1.87,1.19,0.6,0.58,0.2,10.52,10.14,25.78,0.34,0.43,1.7,1.62,0.39,0.1,11.19,12.43,28.199999999999996,0
0.6,3.32,2.72,0.6,0.29,0.58,12.91,11.29,32.31,0.34,1.02,3.06,2.04,0.39,0.2,13.77,14.82,35.64,0
0.26,4.59,4.93,1.19,0.2,0.87,15.3,12.91,40.25,0.51,1.28,3.83,2.3,0.39,0.29,15.21,16.73,40.540000000000006,0
0.34,6.29,6.29,1.19,0.29,1.25,17.12,13.39,46.160000000000004,0.68,1.62,3.83,2.3,0.48,0.39,14.25,15.11,38.66,0
0.51,7.65,6.88,1.36,0.39,1.44,16.35,12.91,47.49,0.85,2.38,4.59,2.13,0.58,0.39,12.72,14.06,37.7,0
0.43,9.17,8.24,1.45,0.58,1.44,13.68,10.9,45.89,0.77,3.74,7.39,2.3,0.77,0.58,11.0,12.62,39.17,0
0.6,10.79,12.15,1.45,0.87,1.73,11.48,9.18,48.25,0.77,5.44,9.26,2.55,0.77,0.77,9.95,11.48,40.989999999999995,0
0.77,12.23,14.35,1.45,0.96,1.82,9.95,7.75,49.28,0.85,7.22,10.96,3.32,1.06,0.96,8.32,9.85,42.540000000000006,0
1.02,12.23,15.46,1.45,1.06,2.01,7.75,4.98,45.96,0.85,8.33,12.32,5.52,0.67,1.06,6.12,7.17,42.04,0
1.19,12.06,15.2,1.7,1.15,2.2,4.78,2.3,40.58,0.77,9.94,13.93,6.88,0.29,0.77,2.2,3.26,38.03999999999999,0
1.7,11.38,14.61,1.79,1.06,1.73,1.92,0.48,34.669999999999995,1.02,8.07,12.91,4.17,0.29,0.67,0.39,1.53,29.049999999999997,0
2.04,10.02,14.35,1.53,1.15,1.25,0.67,0.58,31.589999999999996,0.94,5.52,7.9,0.68,0.39,0.39,0.0,0.96,16.779999999999998,0
2.3,7.99,10.87,0.0,1.34,0.87,0.48,0.77,24.619999999999997,0.43,4.0,3.49,0.34,0.48,0.39,0.1,0.48,9.709999999999999,0
0.26,4.67,3.83,0.0,1.53,0.67,0.39,0.87,12.219999999999999,0.09,0.43,0.09,0.94,0.48,0.39,0.1,0.29,2.81,0
0.43,0.68,1.45,0.34,1.25,0.67,0.29,0.96,6.07,0.17,0.6,0.26,1.19,0.58,0.39,0.29,0.29,3.7699999999999996,0
0.34,1.36,0.09,0.94,1.53,0.77,0.39,1.25,6.67,0.17,0.68,0.26,1.19,0.58,0.48,0.29,0.29,3.94,0
0.34,1.62,0.09,1.11,1.53,0.77,0.39,1.25,7.1,0.17,0.68,0.34,1.19,0.58,0.39,0.2,0.29,3.84,0
0.43,1.7,0.0,1.11,1.63,0.77,0.29,1.25,7.18,0.26,0.68,0.34,1.19,0.58,0.48,0.29,0.29,4.11,0
0.43,1.87,0.09,1.11,1.63,0.77,0.2,1.25,7.35,0.34,0.6,0.43,1.19,0.67,0.48,0.29,0.2,4.199999999999999,0
0.43,1.19,0.09,1.28,1.44,0.77,0.2,1.34,6.74,0.26,0.34,0.43,1.28,0.67,0.48,0.29,0.2,3.95,0
0.51,1.19,0.26,1.28,1.34,0.67,1.73,2.49,9.47,0.34,0.0,0.6,1.19,0.67,0.48,0.2,0.48,3.96,0
0.51,1.11,0.85,1.11,1.15,0.2,9.95,10.33,25.21,0.26,0.09,0.77,1.62,0.48,0.1,7.46,8.04,18.82,0
0.43,2.72,2.64,0.68,0.29,0.48,13.2,11.48,31.92,0.09,0.51,2.21,1.62,0.2,0.29,10.81,11.29,27.02,0
0.26,3.4,4.84,1.45,0.2,1.34,15.59,13.68,40.76,0.34,0.6,3.49,2.21,0.39,0.39,12.72,14.06,34.2,0
0.34,3.66,6.37,1.62,0.2,2.97,17.6,15.3,48.06000000000001,0.43,1.11,5.44,2.64,0.48,0.58,14.25,14.82,39.75,0
0.43,3.83,7.9,2.21,0.2,5.65,17.12,14.34,51.68,0.68,1.96,7.22,2.72,0.48,0.58,13.77,15.11,42.519999999999996,0
0.51,4.25,9.0,2.64,0.29,6.51,14.34,12.91,50.449999999999996,0.85,3.06,8.75,2.72,0.67,0.67,12.15,13.77,42.64,0
0.43,4.93,10.36,2.72,0.39,6.31,12.62,11.09,48.849999999999994,1.02,4.84,10.28,3.06,0.77,0.77,10.71,12.05,43.5,0
0.26,7.05,15.46,2.47,0.48,5.93,10.9,9.85,52.4,1.28,6.63,11.21,3.49,0.87,0.87,9.09,10.52,43.959999999999994,0
0.26,10.53,17.32,2.38,0.67,5.26,8.99,8.23,53.64,1.36,8.16,12.32,4.17,0.77,0.96,7.46,8.7,43.900000000000006,0
0.43,12.49,17.66,2.38,0.77,4.4,7.08,5.17,50.38,1.36,9.09,12.91,5.35,0.67,0.96,6.12,6.12,42.58,0
0.77,12.49,16.98,2.64,0.87,3.54,3.92,2.11,43.32,1.19,9.85,15.03,6.03,0.58,0.87,2.87,3.35,39.769999999999996,0
