L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.53,0.85,1.02,0.6,0.29,1.73,0.1,1.53,7.65,0.17,0.77,1.28,0.85,0.2,0.87,0.0,0.39,4.529999999999999,1
1.53,0.68,0.85,0.51,0.29,1.73,1.06,1.44,8.09,0.17,0.43,1.11,1.53,0.1,0.48,6.31,3.16,13.29,1
1.45,0.6,0.85,0.34,0.2,1.25,3.92,1.82,10.43,0.17,2.21,0.85,4.17,0.1,0.48,8.9,5.65,22.53,1
1.7,0.68,1.11,0.68,0.1,0.87,5.36,1.53,12.030000000000001,0.17,5.69,2.98,6.63,0.2,1.15,10.52,6.98,34.32,1
2.3,2.04,1.28,1.87,0.2,0.87,7.46,1.82,17.84,0.17,8.49,5.01,7.73,0.2,2.11,11.09,7.37,42.17,1
2.72,4.17,1.79,3.83,0.2,1.06,7.94,2.11,23.82,0.17,10.53,6.71,8.16,0.2,2.78,10.9,7.37,46.82,1
3.15,6.2,2.89,6.29,0.2,1.25,8.42,2.11,30.509999999999998,0.26,12.49,7.65,8.75,0.2,3.16,10.52,7.08,50.11,1
3.74,8.75,4.17,8.07,0.2,1.63,9.47,2.68,38.71,0.34,13.08,8.41,9.09,0.2,3.54,10.33,6.89,51.88,1
4.59,10.87,6.54,9.68,0.2,2.01,10.52,2.97,47.379999999999995,0.43,13.93,8.92,9.6,0.2,3.54,9.66,6.6,52.879999999999995,1
5.61,12.74,8.33,10.28,0.29,2.3,9.85,3.06,52.46,0.85,16.31,10.45,9.94,0.2,3.64,9.76,5.84,56.989999999999995,1
6.37,14.1,9.26,11.13,0.29,2.11,8.7,2.97,54.93,1.45,16.73,11.21,12.99,0.2,3.45,8.9,4.98,59.910000000000004,1
7.48,15.03,9.68,11.13,0.29,2.11,7.27,2.97,55.96,1.96,16.73,11.55,14.61,0.2,3.26,6.98,3.64,58.93000000000001,1
9.0,16.05,10.28,11.13,0.29,2.01,6.6,2.78,58.14,2.13,17.15,11.81,14.95,0.1,2.68,3.92,1.73,54.46999999999999,1
10.79,16.48,10.96,11.13,0.29,2.11,5.93,2.49,60.18,1.7,15.97,11.98,14.95,0.1,1.73,0.48,0.29,47.2,1
11.89,16.82,10.96,11.38,0.2,2.2,4.4,2.3,60.150000000000006,1.28,12.74,11.55,9.77,0.1,1.34,0.0,0.29,37.07,1
12.49,17.66,11.72,11.64,0.2,2.2,2.01,1.92,59.839999999999996,0.68,8.24,8.66,5.86,0.2,1.25,0.0,0.29,25.179999999999996,1
13.84,18.17,12.32,12.23,0.1,2.2,0.67,1.25,60.78,0.34,4.93,3.4,3.23,0.2,1.25,0.0,0.29,13.639999999999999,1
12.06,15.71,9.85,9.09,0.2,1.44,0.39,1.15,49.89,0.26,1.28,1.36,1.87,0.2,1.15,0.0,0.39,6.51,1
1.45,4.59,0.51,2.3,0.2,1.34,0.2,1.44,12.03,0.26,1.28,1.36,1.87,0.2,1.15,0.0,0.39,6.51,1
1.19,1.79,1.19,1.53,0.29,1.44,0.2,1.53,9.16,0.17,0.68,1.28,1.11,0.2,1.06,0.0,0.48,4.98,1
1.28,1.36,1.19,1.19,0.29,1.53,0.2,1.63,8.67,0.26,0.68,1.28,1.11,0.2,1.06,0.0,0.39,4.98,1
1.36,1.11,1.19,0.94,0.29,1.63,0.2,1.63,8.35,0.26,0.68,1.28,1.11,0.2,1.06,0.0,0.39,4.98,1
1.45,1.02,1.11,0.77,0.29,1.63,0.2,1.63,8.1,0.17,0.77,1.28,1.02,0.2,1.06,0.0,0.48,4.9799999999999995,1
1.53,0.94,1.11,0.68,0.29,1.63,0.2,1.53,7.91,0.17,0.77,1.19,0.85,0.2,0.77,0.0,0.39,4.34,1
1.53,1.02,1.02,0.68,0.29,1.73,0.0,1.53,7.8,0.17,0.77,1.19,0.85,0.2,0.77,0.0,0.39,4.34,1
1.62,1.02,1.11,0.68,0.29,1.73,0.0,1.63,8.08,0.17,3.23,1.45,5.18,0.2,0.67,8.99,6.03,25.92,1
1.96,1.28,1.11,1.36,0.1,0.67,3.73,1.53,11.74,0.17,3.23,1.45,5.18,0.2,0.67,8.99,6.03,25.92,1
2.72,4.0,1.53,3.91,0.1,0.87,5.65,1.73,20.51,0.17,6.2,4.42,7.65,0.2,1.92,10.52,6.79,37.870000000000005,1
3.49,7.82,2.55,5.95,0.2,1.06,6.79,1.82,29.68,0.17,8.24,7.22,9.09,0.2,3.35,10.43,6.89,45.59,1
4.08,9.68,3.49,6.97,0.2,1.06,7.75,2.11,35.339999999999996,0.17,9.17,8.92,10.36,0.2,4.31,9.47,6.41,49.010000000000005,1
4.93,11.64,4.42,7.82,0.29,1.25,9.28,2.49,42.120000000000005,0.34,10.96,9.6,11.21,0.2,4.59,9.28,6.41,52.59,1
5.95,13.59,5.69,8.24,0.39,1.44,10.04,2.59,47.93,0.43,12.49,9.94,10.79,0.2,4.5,9.66,6.22,54.23,1
6.63,14.44,6.54,8.75,0.39,1.73,10.33,2.87,51.68,0.51,13.59,10.28,10.96,0.29,4.21,10.04,6.03,55.910000000000004,1
7.22,14.69,7.48,8.92,0.39,1.73,9.76,2.68,52.870000000000005,0.51,13.59,10.28,10.96,0.29,4.21,10.04,6.03,55.910000000000004,1
7.9,15.37,8.33,9.43,0.39,1.73,8.99,2.68,54.82,0.77,14.52,9.77,10.53,0.29,3.64,9.76,5.07,54.349999999999994,1
10.79,16.48,9.85,10.28,0.29,1.63,6.22,2.39,57.93,0.85,15.54,10.28,12.49,0.1,3.06,6.41,3.06,51.79,1
12.06,16.82,10.79,10.7,0.29,1.73,4.88,2.2,59.470000000000006,0.94,15.2,10.62,13.93,0.1,2.3,2.78,1.25,47.12,1
12.91,17.24,11.13,11.13,0.2,2.01,2.39,1.73,58.739999999999995,0.85,13.93,10.96,11.21,0.1,1.53,0.29,0.29,39.160000000000004,1
13.84,17.24,11.55,10.96,0.1,2.2,1.34,1.53,58.760000000000005,0.51,8.75,8.92,7.14,0.2,1.34,0.0,0.29,27.15,1
14.18,17.24,11.13,11.38,0.1,2.3,0.67,1.15,58.15,0.26,3.83,3.4,3.57,0.2,1.25,0.0,0.29,12.799999999999999,1
