L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.36,1.7,0.68,1.53,0.67,1.15,1.63,1.92,10.639999999999999,1.7,1.19,1.96,1.36,0.87,0.96,0.87,0.58,9.49,0
1.36,1.79,0.77,1.62,0.77,1.25,1.92,2.01,11.49,1.62,1.19,1.96,1.45,0.87,0.77,2.11,4.98,14.950000000000001,0
1.28,1.36,0.6,1.79,0.48,0.87,7.27,5.36,19.009999999999998,1.62,1.28,1.96,1.62,0.87,0.87,4.69,6.89,19.8,0
1.7,1.53,0.6,1.36,0.48,1.06,8.9,6.51,22.14,1.79,0.68,2.21,1.62,0.87,0.96,6.89,9.95,24.970000000000002,0
2.04,1.87,0.85,1.87,0.67,1.44,11.76,9.28,29.78,1.7,0.85,2.3,1.7,0.87,0.96,8.51,11.57,28.459999999999997,0
2.38,2.13,1.02,1.53,0.67,1.44,12.53,9.85,31.549999999999997,1.45,1.45,2.64,1.79,0.87,0.96,11.48,14.82,35.46,0
2.72,2.13,1.19,1.87,0.67,1.63,13.87,10.9,34.980000000000004,1.28,1.87,2.72,1.87,0.87,0.96,12.43,15.01,37.01,0
3.49,2.38,1.53,2.38,0.77,2.11,14.15,10.52,37.33,1.28,2.3,2.72,2.04,0.87,1.15,12.62,15.59,38.57,0
3.91,2.47,1.62,2.55,0.77,2.4,13.68,10.43,37.83,1.36,2.72,2.81,2.21,0.87,1.34,12.24,15.01,38.56,0
4.08,2.72,1.96,2.64,0.77,2.87,12.53,10.04,37.61,1.53,3.4,2.89,2.13,0.96,1.34,12.62,15.01,39.879999999999995,0
3.83,2.72,2.3,2.64,0.77,3.64,11.19,8.8,35.89,1.53,3.57,2.81,2.04,0.96,1.25,12.82,15.3,40.28,0
4.25,3.15,3.49,3.57,0.58,4.69,7.75,5.45,32.93,1.53,3.66,2.81,2.21,0.96,1.34,12.43,14.82,39.760000000000005,0
4.08,3.15,4.67,4.5,0.48,4.88,4.69,3.26,29.709999999999997,1.53,3.83,2.81,2.21,0.96,1.34,11.48,13.77,37.93,0
4.08,3.15,5.78,6.03,0.48,4.4,2.59,2.11,28.619999999999997,1.62,5.52,2.89,2.3,0.87,1.34,8.99,11.09,34.62,0
5.01,2.81,6.88,6.2,0.29,2.11,1.34,1.63,26.269999999999996,1.62,6.12,3.23,2.81,0.87,1.34,6.03,7.94,29.96,0
5.1,2.21,4.25,3.49,0.29,1.34,1.34,1.63,19.65,2.04,5.27,4.5,4.25,0.77,0.96,1.15,3.73,22.669999999999998,0
4.25,2.04,2.98,2.21,0.48,1.15,1.34,1.63,16.08,3.57,3.66,5.35,3.66,0.77,1.06,0.67,1.73,20.470000000000002,0
2.38,1.62,1.87,1.7,0.48,1.06,1.44,1.63,12.18,2.3,2.98,2.98,1.96,0.67,0.67,0.77,0.58,12.91,0
0.94,1.45,0.6,1.45,0.39,1.06,1.53,1.63,9.05,1.11,1.11,2.38,1.7,0.77,0.77,0.96,0.29,9.09,0
1.11,1.53,0.6,1.36,0.48,1.15,1.73,1.73,9.69,1.11,1.02,1.87,1.45,0.87,0.87,1.06,0.39,8.64,0
1.11,1.62,0.6,1.28,0.48,1.15,1.82,1.82,9.879999999999999,1.36,1.02,2.04,1.36,0.87,0.96,1.15,0.39,9.15,0
1.28,1.7,0.6,1.36,0.67,1.15,1.73,1.82,10.309999999999999,1.53,1.11,1.96,1.36,0.87,0.96,1.25,0.48,9.520000000000001,0
1.28,1.7,0.68,1.45,0.67,1.25,1.63,1.82,10.48,1.62,1.11,1.96,1.45,0.87,1.06,1.25,0.58,9.9,0
1.45,1.79,0.68,1.45,0.67,1.15,1.63,1.82,10.64,1.7,1.02,2.04,1.53,0.87,1.06,1.25,0.48,9.95,0
1.45,1.87,0.77,1.53,0.67,1.25,1.73,1.82,11.09,1.62,1.11,1.87,1.53,0.87,1.06,1.25,0.58,9.89,0
1.45,1.87,0.77,1.53,0.67,1.25,2.68,2.2,12.420000000000002,1.7,1.19,2.04,1.53,0.87,1.06,1.15,0.39,9.93,0
1.36,1.7,0.68,1.7,0.48,0.67,8.04,5.84,20.47,1.79,1.28,2.04,1.62,0.87,1.06,1.25,0.48,10.39,0
1.45,1.53,0.77,1.45,0.48,0.87,10.43,8.13,25.110000000000003,1.7,1.19,1.87,1.45,0.87,1.06,0.48,0.39,9.01,0
1.7,1.87,0.94,2.04,0.67,1.53,13.2,10.43,32.379999999999995,1.53,1.19,1.79,1.62,0.87,0.77,3.06,5.74,16.57,0
1.7,1.96,0.94,2.13,0.77,1.63,13.39,11.19,33.709999999999994,1.45,0.6,1.79,1.7,0.87,0.87,5.36,6.98,19.62,0
1.79,2.04,0.94,2.3,0.77,1.92,14.44,11.48,35.68000000000001,1.28,0.77,2.04,1.53,0.87,0.87,6.98,9.28,23.619999999999997,0
1.96,2.13,0.94,2.38,0.77,2.4,14.92,11.86,37.36,1.19,2.64,2.47,1.87,0.87,0.96,8.9,11.57,30.47,0
2.04,2.13,1.19,2.81,0.87,3.83,14.15,11.48,38.5,1.19,3.57,2.64,2.3,0.87,1.15,9.76,12.53,34.01,0
2.04,2.21,1.36,2.64,0.87,4.21,13.39,11.0,37.72,1.28,4.5,2.89,2.64,0.87,1.34,10.33,13.1,36.95,0
2.04,2.21,1.45,2.64,0.87,4.59,13.01,10.43,37.239999999999995,1.45,5.44,3.06,2.89,0.87,1.44,10.43,13.1,38.68,0
2.13,2.21,2.04,2.81,0.87,4.98,11.57,9.37,35.98,1.36,6.63,3.23,2.81,0.87,1.44,9.85,12.34,38.53,0
2.13,2.3,2.47,3.06,0.87,4.78,10.62,8.51,34.74,1.53,7.39,3.4,3.06,0.87,1.44,9.28,11.96,38.93,0
2.13,2.21,3.06,3.4,0.77,4.78,9.18,7.37,32.900000000000006,1.7,8.07,3.57,2.89,0.87,1.34,8.23,10.62,37.290000000000006,0
2.38,2.81,5.78,6.2,0.48,4.21,2.97,2.3,27.130000000000003,1.79,9.26,3.91,3.32,0.87,1.25,6.22,8.7,35.32,0
2.89,3.06,6.97,7.9,0.39,2.3,1.63,1.63,26.77,3.83,6.37,7.48,6.29,0.77,1.15,0.67,2.59,29.15,0
3.57,2.81,7.05,6.37,0.2,1.92,1.34,1.44,24.700000000000003,4.84,4.59,6.63,2.89,0.77,0.87,0.77,0.87,22.23,0
3.74,2.47,4.08,3.23,0.39,1.15,1.25,1.44,17.75,1.79,3.91,2.72,1.96,0.77,0.67,0.87,0.29,12.979999999999999,0
0.94,1.53,1.02,1.7,0.39,0.87,1.44,1.63,9.52,0.85,1.7,2.04,1.7,0.77,0.77,1.06,0.29,9.18,0
0.94,1.53,0.6,1.53,0.39,0.87,1.34,1.44,8.64,0.77,0.85,1.62,1.53,0.87,0.87,1.06,0.29,7.86,0
1.19,1.7,0.6,1.36,0.39,0.87,1.53,1.63,9.27,1.28,1.02,1.79,1.62,0.87,0.96,1.25,0.48,9.27,0
1.36,1.79,0.6,1.36,0.48,0.96,1.82,1.73,10.100000000000001,1.36,1.02,1.79,1.53,0.87,1.06,1.25,0.48,9.36,0
1.45,1.79,0.6,1.36,0.58,0.96,1.82,1.73,10.29,1.36,1.02,1.79,1.62,0.87,1.06,1.25,0.58,9.55,0
1.45,1.79,0.68,1.36,0.58,0.96,1.73,1.73,10.280000000000001,1.45,1.02,1.79,1.62,0.87,1.06,1.25,0.48,9.54,0
1.53,1.79,0.68,1.45,0.67,0.96,1.63,1.82,10.530000000000001,1.45,1.11,1.79,1.7,0.96,1.06,1.34,0.58,9.99,0
1.53,1.79,0.6,1.19,0.67,0.58,6.03,3.83,16.22,1.45,1.02,1.79,1.62,0.87,0.96,1.06,0.58,9.35,0
1.53,1.53,0.51,1.53,0.48,0.77,10.14,7.56,24.049999999999997,1.53,1.02,1.79,1.62,0.87,0.77,0.58,2.11,10.29,0
1.79,1.79,0.77,1.7,0.58,1.15,11.57,8.9,28.25,1.11,4.0,1.62,1.45,0.96,0.96,6.51,8.8,25.41,0
1.87,2.21,1.11,2.04,0.67,1.53,13.39,10.43,33.25,1.19,6.2,1.79,1.7,0.96,1.06,8.04,10.52,31.46,0
1.79,2.13,1.19,2.04,0.77,2.2,14.44,11.38,35.94,1.45,7.14,2.04,1.87,0.96,1.06,9.18,11.48,35.18,0
1.79,2.13,1.19,2.21,0.77,3.54,13.68,11.0,36.31,1.7,7.9,2.13,1.96,0.87,1.15,10.23,12.91,38.85,0
1.87,2.3,1.28,2.72,0.67,4.59,11.95,10.14,35.52,1.87,8.33,2.21,2.13,0.87,1.25,10.81,13.58,41.05,0
1.96,2.47,1.79,3.32,0.77,5.65,9.85,8.51,34.32,1.87,9.0,2.47,2.21,0.96,1.25,10.33,12.91,41.0,0
1.87,2.47,2.64,3.74,0.77,5.84,8.61,7.27,33.21,2.04,9.94,2.72,2.3,0.96,1.25,8.61,11.29,39.11,0
1.96,2.55,3.83,4.59,0.67,5.84,6.22,5.17,30.83,2.21,11.3,3.06,2.47,0.96,1.25,7.27,9.76,38.28,0
2.13,2.89,6.37,8.24,0.39,3.35,1.73,1.73,26.83,2.81,11.81,3.57,2.64,0.87,1.15,5.55,7.65,36.05,0
2.38,2.72,7.14,9.51,0.39,2.4,1.34,1.63,27.509999999999998,5.1,6.88,6.71,4.67,0.77,1.25,0.67,2.2,28.25,0
3.23,2.3,6.54,6.88,0.29,1.82,1.34,1.53,23.93,5.35,4.33,5.78,2.55,0.77,0.87,0.77,0.96,21.38,0
2.64,2.38,3.66,3.57,0.29,1.15,1.34,1.63,16.66,1.79,3.32,2.81,2.04,0.77,0.87,0.87,0.39,12.86,0
0.6,1.53,0.77,1.62,0.29,0.77,1.53,1.63,8.74,0.94,1.11,1.96,1.7,0.87,0.87,0.96,0.39,8.8,0
1.02,1.79,0.6,1.53,0.39,0.77,1.53,1.53,9.16,0.85,0.68,1.7,1.62,0.96,0.96,1.06,0.48,8.31,0
1.28,1.87,0.6,1.28,0.39,0.77,1.73,1.63,9.55,1.19,0.77,1.79,1.7,0.87,1.06,1.25,0.67,9.3,0
1.36,1.87,0.68,1.19,0.48,0.87,1.73,1.73,9.91,1.36,0.85,1.79,1.7,0.87,1.15,1.25,0.58,9.55,0
1.36,1.96,0.68,1.28,0.58,0.87,1.63,1.73,10.09,1.45,0.85,1.79,1.7,0.96,1.15,1.25,0.67,9.82,0
1.45,2.04,0.68,1.28,0.67,0.77,1.44,1.82,10.149999999999999,1.45,0.85,1.7,1.62,0.96,1.15,1.25,0.58,9.56,0
