L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
0.77,0.85,0.68,0.34,0.48,1.73,0.2,0.87,5.92,0.26,0.77,1.19,0.43,0.2,0.48,0.0,0.48,3.8099999999999996,1
1.19,0.6,0.77,0.26,0.48,1.92,0.39,1.06,6.67,0.26,0.77,1.28,0.6,0.2,0.48,0.0,0.58,4.17,1
1.19,0.6,0.77,0.26,0.48,1.92,0.39,1.06,6.67,0.17,0.77,1.36,0.68,0.2,0.48,0.0,0.58,4.24,1
1.36,0.6,0.77,0.34,0.48,1.92,0.39,1.06,6.92,0.17,0.77,1.28,0.68,0.2,0.58,0.0,0.58,4.26,1
1.36,0.68,0.85,0.34,0.58,1.92,0.39,1.06,7.18,0.17,0.77,1.28,0.77,0.2,0.58,0.0,0.58,4.35,1
1.36,0.68,0.85,0.43,0.58,1.92,0.87,1.25,7.94,0.09,0.85,1.19,0.77,0.2,0.58,0.0,0.67,4.35,1
1.79,0.51,0.77,0.34,0.39,1.25,8.7,1.34,15.09,0.09,0.77,1.28,0.77,0.2,0.58,0.2,0.58,4.47,1
4.0,1.87,0.94,2.55,0.39,1.06,13.2,3.73,27.74,0.09,0.51,0.94,1.53,0.2,0.29,10.9,7.17,21.63,1
4.0,1.87,0.94,2.55,0.39,1.06,13.2,3.73,27.74,0.09,0.43,0.77,3.23,0.1,0.39,16.16,8.42,29.589999999999996,1
5.52,3.66,2.3,4.0,0.48,1.15,15.3,6.51,38.92,0.09,0.94,1.02,4.08,0.1,0.48,19.51,9.95,36.17,1
5.1,4.76,3.74,6.12,0.58,1.73,16.45,8.8,47.28,0.09,1.45,1.79,5.27,0.2,0.67,20.37,11.29,41.13,1
5.44,5.69,4.59,6.63,0.67,2.01,17.69,9.76,52.480000000000004,0.09,1.87,2.64,5.95,0.29,0.77,21.71,12.34,45.66,1
5.78,6.2,5.18,6.97,0.67,2.4,17.69,10.43,55.32,0.17,2.3,3.83,6.54,0.29,1.15,21.23,11.96,47.47,1
6.12,7.05,5.35,6.71,0.67,2.4,17.4,10.43,56.129999999999995,0.34,3.49,5.69,7.05,0.29,1.53,19.89,10.04,48.32,1
6.54,8.66,5.95,6.88,0.58,2.4,16.45,9.66,57.120000000000005,0.51,4.5,7.65,7.22,0.29,1.63,19.12,8.51,49.43000000000001,1
6.88,10.11,7.14,7.22,0.58,2.4,14.54,8.32,57.19,0.85,6.12,9.51,8.07,0.2,1.92,14.73,5.93,47.33,1
7.31,12.66,8.41,7.73,0.48,2.49,12.05,6.03,57.16,3.66,12.49,14.27,12.23,0.2,1.53,5.36,1.53,51.269999999999996,1
8.41,14.86,10.28,8.83,0.39,2.68,8.23,2.11,55.78999999999999,4.59,14.52,14.86,12.4,0.1,0.77,0.58,0.58,48.4,1
10.36,15.63,12.57,9.34,0.29,2.2,3.73,1.34,55.46000000000001,4.42,11.13,11.13,4.67,0.1,0.2,0.1,0.58,32.33,1
11.81,16.05,12.15,9.17,0.39,2.2,0.87,0.48,53.12,2.13,1.19,1.36,0.26,0.2,0.29,0.0,0.48,5.909999999999999,1
12.49,10.11,1.28,1.87,0.48,1.63,0.39,0.48,28.73,0.43,0.68,1.36,0.0,0.2,0.48,0.0,0.29,3.4400000000000004,1
6.37,3.83,0.34,0.85,0.48,1.63,0.39,0.48,14.37,0.34,0.68,1.28,0.26,0.2,0.39,0.0,0.58,3.73,1
1.02,0.68,0.85,0.26,0.48,1.82,0.39,0.87,6.369999999999999,0.17,0.68,1.36,0.51,0.2,0.48,0.0,0.58,3.98,1
