L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.11,1.53,1.11,1.96,0.77,1.63,1.44,1.25,10.8,2.3,0.68,2.04,2.13,0.87,0.67,1.15,1.06,10.9,1
1.11,1.36,1.11,1.87,0.67,1.25,5.45,4.59,17.41,2.3,0.68,2.04,2.13,0.87,0.67,1.15,1.06,10.9,1
1.53,1.45,1.62,1.62,0.67,1.34,7.65,6.98,22.86,2.3,0.51,2.13,1.79,0.77,0.48,1.53,6.51,16.02,1
1.87,1.87,2.38,1.53,0.67,1.82,10.62,9.28,30.04,2.3,0.68,2.3,1.79,0.67,0.29,4.4,9.85,22.28,1
1.79,2.13,2.89,1.87,0.77,3.26,12.72,10.71,36.14,2.47,0.77,2.98,2.3,0.67,0.29,6.6,12.91,28.99,1
1.79,2.04,3.4,2.3,0.77,4.88,13.87,11.76,40.81,2.38,1.62,3.57,2.98,0.67,0.39,7.84,14.54,33.989999999999995,1
1.62,2.13,3.91,2.81,0.77,5.65,14.63,12.34,43.86,2.38,1.62,3.57,2.98,0.67,0.39,7.84,14.54,33.989999999999995,1
1.7,2.13,4.93,3.91,0.58,6.7,12.72,11.19,43.86,2.3,2.89,5.27,4.67,0.67,0.39,8.04,14.82,39.05,1
1.87,2.13,5.61,4.93,0.58,7.08,11.19,10.52,43.91,2.21,3.83,7.99,6.8,0.67,0.87,8.7,14.82,45.89,1
1.96,2.3,6.29,5.61,0.48,7.27,10.62,10.23,44.760000000000005,2.13,5.18,10.11,7.73,0.67,0.67,8.9,14.54,49.92999999999999,1
2.04,2.47,6.88,6.46,0.48,7.46,9.76,9.66,45.21,1.87,6.2,11.04,7.56,0.77,0.1,9.09,14.06,50.69,1
2.04,2.47,7.31,7.22,0.58,7.37,9.56,9.28,45.83,1.62,7.22,11.3,6.63,0.77,0.0,8.99,13.39,49.92,1
1.96,2.3,6.8,6.88,0.48,6.7,10.23,9.76,45.11,1.45,9.51,10.7,5.44,0.87,0.2,8.99,12.72,49.88,1
1.96,1.96,6.12,6.46,0.39,5.55,10.9,9.66,43.0,1.36,11.38,10.28,4.76,0.77,0.29,8.99,12.72,50.55,1
4.42,2.64,8.75,7.39,0.48,5.26,6.41,5.17,40.52,1.45,12.82,9.6,4.59,0.67,0.39,9.37,12.72,51.61,1
5.52,2.98,9.68,7.73,0.39,3.92,2.78,1.82,34.82,1.45,14.61,10.7,4.59,0.67,0.48,6.03,9.18,47.709999999999994,1
6.2,3.32,10.53,6.29,0.2,3.06,1.53,1.15,32.28,1.53,15.2,11.3,5.1,0.39,0.58,2.3,5.93,42.33,1
6.2,2.81,8.75,3.91,0.1,2.2,1.25,1.06,26.28,1.62,15.2,11.72,5.01,0.2,0.48,0.77,3.92,38.919999999999995,1
2.72,2.55,5.78,2.3,0.29,1.34,1.25,0.96,17.189999999999998,1.28,14.1,8.83,2.81,0.39,0.58,0.67,1.92,30.58,1
0.68,1.96,2.81,1.53,0.2,1.06,1.34,0.77,10.350000000000001,1.02,10.19,2.98,2.21,0.48,0.58,0.67,1.25,19.38,1
0.77,1.96,1.62,1.53,0.29,1.06,1.53,0.87,9.63,1.02,10.19,2.98,2.21,0.48,0.58,0.67,1.25,19.38,1
1.11,1.87,1.19,1.62,0.39,0.96,1.63,1.06,9.830000000000002,1.62,7.56,2.47,2.04,0.58,0.58,0.77,0.77,16.39,1
1.19,2.04,1.11,1.62,0.48,0.96,1.73,1.06,10.190000000000001,1.96,2.13,1.96,1.79,0.58,0.48,0.77,0.48,10.15,1
1.28,1.87,1.11,1.62,0.58,0.96,1.73,1.06,10.21,2.13,0.77,2.04,2.13,0.67,0.58,0.96,0.87,10.15,1
1.36,1.96,1.11,1.79,0.48,0.96,1.73,1.06,10.450000000000001,2.21,0.68,2.13,2.13,0.67,0.58,1.06,0.87,10.33,1
1.19,1.87,1.02,1.7,0.48,0.96,1.34,0.87,9.43,2.21,0.6,2.13,2.13,0.77,0.67,1.06,0.96,10.530000000000001,1
1.11,1.53,0.94,1.7,0.48,1.06,2.68,2.11,11.61,2.3,0.51,1.96,2.21,0.77,0.67,0.67,0.77,9.86,1
1.45,1.53,1.11,1.7,0.48,0.77,5.07,3.64,15.75,2.21,0.51,2.04,2.04,0.67,0.48,0.29,2.11,10.35,1
3.32,2.3,3.4,1.87,0.48,1.25,8.04,7.08,27.739999999999995,2.38,0.6,1.96,1.87,0.58,0.2,2.49,7.84,17.92,1
4.0,2.55,4.5,2.47,0.58,2.68,9.56,8.23,34.57,2.38,1.19,2.89,2.55,0.58,0.2,3.83,8.9,22.52,1
4.33,2.89,5.78,3.15,0.58,4.12,10.71,9.18,40.739999999999995,1.53,3.83,5.69,3.23,0.77,0.29,4.59,9.37,29.3,1
4.93,2.98,6.71,3.66,0.58,4.69,11.38,9.76,44.69,1.53,3.83,5.69,3.23,0.77,0.29,4.59,9.37,29.3,1
5.78,3.23,7.31,4.0,0.67,5.07,12.15,10.23,48.440000000000005,1.19,5.52,8.41,4.33,0.67,0.29,5.07,9.76,35.239999999999995,1
6.2,3.32,7.73,4.25,0.67,5.26,11.95,10.04,49.42,1.02,6.88,10.11,5.78,0.77,0.29,5.36,10.52,40.73,1
6.54,3.32,7.82,4.5,0.67,5.45,11.38,9.95,49.629999999999995,1.02,8.33,11.04,6.37,0.87,0.39,5.74,10.62,44.379999999999995,1
6.97,3.4,8.49,4.93,0.67,5.45,9.85,8.32,48.08,1.11,9.68,11.98,6.8,0.96,0.29,5.45,9.95,46.22,1
7.56,3.4,8.92,5.61,0.58,5.45,8.32,6.89,46.730000000000004,1.11,11.81,12.4,6.63,0.96,0.48,4.4,8.51,46.300000000000004,1
7.99,3.66,10.87,6.54,0.39,5.26,4.88,3.54,43.13,1.11,11.81,12.4,6.63,0.96,0.48,4.4,8.51,46.300000000000004,1
8.66,4.33,13.42,7.73,0.2,3.83,2.3,1.53,42.0,1.19,13.08,12.4,6.54,1.06,0.58,3.16,6.7,44.71,1
8.75,4.67,14.44,7.39,0.2,2.68,1.44,1.25,40.82,1.11,14.35,12.99,6.63,0.77,0.67,1.63,5.36,43.51,1
8.49,3.57,11.89,4.42,0.29,1.73,1.34,1.06,32.790000000000006,1.28,14.95,12.99,6.63,0.58,0.67,0.96,3.73,41.79,1
5.35,2.64,7.22,2.47,0.39,1.53,1.34,1.06,22.0,0.94,14.35,11.3,4.93,0.58,0.77,0.77,2.3,35.94,1
0.51,1.53,2.13,1.11,0.39,1.15,1.53,1.06,9.41,0.94,14.35,11.3,4.93,0.58,0.77,0.77,2.3,35.94,1
0.94,1.7,1.7,1.19,0.48,1.15,1.63,1.06,9.85,0.85,11.38,5.78,2.98,0.67,0.67,0.77,1.53,24.630000000000003,1
1.11,1.7,1.36,1.28,0.58,1.15,1.73,1.15,10.059999999999999,0.68,8.75,2.64,2.47,0.67,0.58,0.87,0.96,17.619999999999997,1
1.11,1.79,1.28,1.45,0.67,1.15,1.73,1.15,10.33,1.02,4.42,2.47,2.21,0.77,0.58,0.96,0.77,13.2,1
1.19,1.79,1.28,1.45,0.67,1.15,1.82,1.25,10.600000000000001,1.7,0.6,2.21,2.13,0.87,0.77,1.15,0.87,10.3,1
1.28,1.79,1.19,1.7,0.67,1.15,1.73,1.34,10.850000000000001,1.7,0.6,2.21,2.13,0.87,0.77,1.15,0.87,10.3,1
0.85,1.62,1.11,1.45,0.58,1.06,1.44,1.15,9.260000000000002,1.87,0.51,2.21,2.13,0.96,0.77,1.15,0.96,10.559999999999999,1
3.49,1.62,2.72,1.53,0.58,1.25,6.51,5.55,23.25,1.96,0.51,2.21,2.13,0.96,0.77,1.15,0.87,10.559999999999999,1
5.35,2.21,4.0,2.21,0.67,1.73,7.75,7.08,31.0,1.79,0.51,2.04,2.04,0.96,0.87,0.2,0.77,9.18,1
5.86,2.55,4.93,2.64,0.67,3.06,9.76,8.8,38.27,1.53,0.51,1.87,1.87,0.77,0.39,1.06,6.03,14.030000000000001,1
6.12,2.81,5.86,3.06,0.67,4.4,10.71,9.66,43.290000000000006,1.53,0.51,1.87,1.87,0.77,0.39,1.06,6.03,14.030000000000001,1
6.29,2.98,6.71,3.57,0.67,5.26,11.57,10.43,47.48,1.45,2.64,4.67,3.4,0.77,0.29,2.49,7.37,23.08,1
6.2,3.06,7.14,3.91,0.67,5.65,12.34,10.52,49.49,1.02,5.35,8.83,5.01,0.87,0.39,2.97,7.65,32.09,1
6.29,2.81,7.14,4.08,0.67,5.26,12.34,10.52,49.11,1.02,8.92,11.98,7.39,1.06,0.48,2.78,7.75,41.38,1
7.31,2.89,6.54,4.0,0.77,4.59,12.15,10.23,48.480000000000004,1.02,10.19,12.66,7.73,1.06,0.39,2.87,7.37,43.290000000000006,1
7.48,3.15,7.56,4.08,0.87,4.78,10.71,8.8,47.43000000000001,1.11,10.87,12.99,8.07,1.15,0.48,2.59,6.89,44.15,1
8.07,3.4,8.41,4.42,0.67,4.5,7.75,6.51,43.730000000000004,1.11,10.87,12.99,8.07,1.15,0.48,2.59,6.89,44.15,1
8.49,4.0,9.26,5.01,0.2,3.73,3.45,2.01,36.15,1.11,11.81,13.25,8.07,1.15,0.48,1.92,6.31,44.1,1
8.92,4.42,10.45,5.27,0.2,2.01,1.82,1.25,34.339999999999996,1.11,12.15,13.84,8.24,1.15,0.67,1.63,5.74,44.529999999999994,1
7.99,2.98,8.16,3.06,0.29,1.53,1.44,1.25,26.700000000000003,1.02,13.76,13.84,7.73,1.06,0.77,1.15,3.64,42.97,1
0.85,1.36,2.89,1.36,0.48,1.34,1.53,0.96,10.77,1.11,14.35,13.5,7.73,0.96,0.96,0.96,2.59,42.16,1
0.77,1.62,2.04,1.53,0.48,1.25,1.73,1.15,10.57,1.28,14.95,13.25,7.9,0.96,0.96,0.87,2.2,42.37,1
1.02,1.7,1.7,1.53,0.58,1.25,1.82,1.15,10.75,1.02,13.76,11.3,5.1,1.06,0.77,0.87,1.73,35.61,1
1.11,1.7,1.53,1.53,0.58,1.34,1.82,1.25,10.86,1.02,13.76,11.3,5.1,1.06,0.77,0.87,1.73,35.61,1
1.28,1.87,1.28,1.62,0.58,1.34,1.82,1.25,11.040000000000001,0.6,11.38,5.35,3.06,1.06,0.58,0.96,0.96,23.95,1
1.28,1.79,1.36,1.7,0.58,1.34,1.82,1.34,11.21,0.68,7.65,2.55,2.55,1.06,0.58,1.06,0.87,17.0,1
1.19,1.87,1.11,1.7,0.58,1.34,1.53,1.15,10.469999999999999,1.62,0.43,2.21,2.13,1.25,0.67,1.15,0.67,10.13,1
