L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.02,1.36,1.11,1.36,0.67,1.15,1.25,0.96,8.879999999999999,2.21,0.6,2.21,2.21,1.06,0.96,1.06,0.96,11.27,1
1.19,1.11,1.02,1.36,0.67,1.25,6.79,7.84,21.229999999999997,2.13,0.43,2.21,2.04,0.77,0.39,2.01,8.23,18.21,1
2.81,1.7,2.98,1.53,0.58,1.63,7.94,8.7,27.87,2.13,0.43,2.21,2.04,0.77,0.39,2.01,8.23,18.21,1
4.42,2.3,4.76,2.55,0.67,3.16,9.18,9.28,36.32,2.38,1.62,2.38,1.96,0.77,0.58,5.17,11.0,25.860000000000003,1
4.93,2.64,6.12,3.06,0.77,4.78,10.14,9.95,42.39,2.3,4.0,6.54,3.74,0.87,0.77,8.61,14.06,40.89,1
4.93,2.64,6.12,3.06,0.77,4.78,10.14,9.95,42.39,2.13,5.78,9.09,5.1,0.96,0.96,9.47,14.82,48.31,1
5.52,3.32,8.24,4.17,0.87,6.22,10.14,10.23,48.71,2.13,5.78,9.09,5.1,0.96,0.96,9.47,14.82,48.31,1
5.95,3.49,8.92,4.67,0.87,6.31,9.56,9.76,49.53,2.04,7.05,10.28,5.61,1.06,0.96,9.66,15.01,51.67,1
6.2,3.57,9.34,5.1,0.77,6.79,7.56,8.32,47.65,1.7,9.77,11.47,6.12,1.15,0.58,8.32,12.72,51.83,1
6.71,3.74,10.45,5.69,0.67,6.79,6.31,6.98,47.34,1.45,11.04,12.66,6.2,1.25,0.58,7.08,11.29,51.55,1
7.22,3.83,12.32,6.88,0.67,6.7,5.36,5.55,48.53,1.36,12.15,12.99,6.37,1.25,0.67,5.36,9.47,49.62,1
7.73,4.17,14.69,7.73,0.58,6.31,3.54,3.64,48.39,1.45,13.76,13.5,6.63,1.06,0.87,2.87,6.7,46.839999999999996,1
8.49,4.67,16.56,8.75,0.58,6.03,2.49,2.59,50.16,1.45,14.35,13.84,6.97,0.87,0.77,1.06,4.4,43.71,1
