L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
0.43,1.45,0.34,1.96,1.34,0.87,1.25,1.15,8.79,1.36,0.68,1.36,1.36,0.48,0.67,0.39,1.92,8.219999999999999,1
0.51,0.94,0.26,1.96,0.96,0.48,5.26,3.64,14.01,1.36,0.68,1.36,1.36,0.48,0.67,0.39,1.92,8.219999999999999,1
0.51,1.96,0.34,1.7,0.87,0.29,12.72,10.33,28.72,1.36,1.02,1.45,1.36,0.29,0.58,9.76,13.58,29.4,1
0.68,2.89,0.51,1.53,0.67,0.48,14.44,12.53,33.73,1.36,1.02,1.45,1.36,0.29,0.58,9.76,13.58,29.4,1
0.85,4.67,0.85,1.7,0.29,0.67,18.36,14.63,42.02,1.28,3.74,2.13,1.7,0.48,0.67,10.62,14.63,35.25,1
1.02,6.63,2.04,2.38,0.39,1.25,20.27,15.78,49.76,1.19,6.63,3.15,1.96,0.58,0.87,11.48,15.68,41.54,1
1.28,9.09,3.57,2.89,0.77,2.01,20.75,16.35,56.71,1.45,12.32,10.62,3.83,1.15,2.78,13.58,17.12,62.85,1
1.79,11.38,4.33,3.06,1.06,2.39,20.27,15.4,59.68000000000001,1.79,14.61,11.55,4.33,1.25,2.59,12.24,15.4,63.760000000000005,1
2.3,11.98,4.93,3.32,1.15,2.68,18.36,13.87,58.589999999999996,1.96,16.05,12.23,4.67,1.15,2.11,10.71,13.58,62.459999999999994,1
2.72,12.82,5.35,3.49,1.25,2.68,15.4,12.34,56.050000000000004,1.96,16.05,12.23,4.67,1.15,2.11,10.71,13.58,62.459999999999994,1
3.49,13.08,5.78,3.49,1.34,2.87,15.11,11.57,56.730000000000004,2.13,16.65,12.82,5.18,1.25,2.2,9.18,12.43,61.84,1
4.76,13.42,6.12,3.49,1.44,2.97,13.2,10.33,55.730000000000004,2.47,17.32,13.08,5.86,1.34,2.49,8.13,11.67,62.36000000000001,1
5.69,13.08,7.05,3.49,1.44,2.97,11.48,8.32,53.519999999999996,2.81,17.66,15.03,7.82,0.96,2.78,3.73,8.61,59.4,1
6.46,13.08,9.0,3.49,1.34,2.78,8.99,4.21,49.35,2.64,18.85,15.8,8.33,0.1,1.92,1.06,3.54,52.24,1
7.14,13.42,11.21,3.66,0.77,2.11,4.69,1.06,44.06,2.64,18.09,15.03,7.65,0.2,1.82,0.87,2.87,49.169999999999995,1
