L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
0.26,0.85,0.34,1.28,1.15,0.77,0.77,0.87,6.29,1.62,0.26,0.43,0.26,0.67,0.67,0.29,0.2,4.4,0
0.43,0.85,0.26,1.11,1.15,0.77,0.67,1.06,6.300000000000001,1.62,0.17,0.51,0.34,0.58,0.77,1.25,5.65,10.89,0
0.43,0.77,0.26,1.11,1.25,0.77,0.77,1.15,6.51,1.62,0.17,0.09,0.43,0.58,0.2,9.85,12.82,25.76,0
0.51,0.85,0.26,1.36,1.25,0.77,0.77,1.25,7.02,2.13,0.09,0.26,1.45,0.39,0.48,11.57,13.39,29.76,0
0.6,0.85,0.17,1.45,1.34,0.77,0.77,1.25,7.200000000000001,3.83,2.13,3.06,2.98,0.1,0.39,16.07,16.45,45.01,0
0.68,0.85,0.09,1.53,1.25,0.87,0.87,1.44,7.58,5.44,4.25,3.66,3.49,0.2,0.58,16.35,16.73,50.7,0
0.43,0.77,0.17,1.11,1.15,0.87,2.2,2.78,9.48,6.2,5.95,4.0,3.57,0.29,0.58,15.4,15.78,51.769999999999996,0
1.11,0.77,0.34,1.53,0.67,0.77,15.21,11.0,31.400000000000002,7.05,6.54,3.74,3.23,0.2,0.87,14.63,15.3,51.56,0
1.45,1.02,0.43,2.21,0.48,1.34,16.26,11.67,34.86,7.31,7.22,3.66,3.32,0.39,1.06,14.34,15.01,52.31,0
1.79,1.62,0.51,2.3,0.39,1.63,17.88,12.72,38.84,7.99,8.16,4.84,3.49,0.39,1.06,13.87,14.54,54.33999999999999,0
4.33,3.4,2.38,2.72,0.48,3.64,19.41,12.91,49.269999999999996,8.92,9.43,6.63,3.91,0.29,1.06,13.01,13.01,56.260000000000005,0
5.1,4.42,3.4,3.06,0.58,5.07,18.84,12.43,52.900000000000006,11.47,10.79,8.41,5.27,0.2,1.25,8.99,9.09,55.47,0
6.2,4.93,3.83,3.49,0.67,4.98,16.26,11.0,51.36,12.74,10.19,9.68,7.31,0.2,1.25,5.07,5.07,51.510000000000005,0
6.63,5.1,3.74,3.4,0.77,5.17,15.87,10.62,51.3,12.49,9.51,10.11,8.33,0.2,1.25,0.96,2.01,44.86,0
7.31,6.03,4.33,3.74,0.67,5.65,12.34,8.42,48.489999999999995,10.45,4.08,2.98,2.04,0.39,0.58,0.29,0.39,21.199999999999996,0
7.65,7.48,4.42,3.91,0.67,5.36,10.23,6.31,46.03,6.29,2.38,1.36,1.45,0.58,0.58,0.29,0.29,13.22,0
8.49,9.51,5.86,4.5,0.58,4.88,6.12,2.97,42.91,3.15,0.68,1.28,0.94,0.58,0.58,0.29,0.2,7.699999999999999,0
8.16,6.37,7.73,6.46,0.67,2.3,1.25,0.58,33.52,2.04,0.6,0.94,0.68,0.58,0.67,0.29,0.2,6.0,0
