L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
0.68,0.85,0.34,1.28,1.34,0.58,0.77,1.63,7.470000000000001,1.79,0.17,0.43,0.43,0.67,0.77,0.1,0.77,5.13,0
0.77,0.85,0.34,1.36,1.44,0.58,0.77,1.63,7.74,1.79,0.17,0.43,0.43,0.67,0.77,0.1,0.77,5.13,0
0.68,0.94,0.34,1.53,1.44,0.58,0.77,1.73,8.01,2.13,0.09,0.17,2.47,0.1,0.29,14.25,16.26,35.760000000000005,0
0.68,0.94,0.34,1.53,1.44,0.67,0.87,1.73,8.2,2.98,0.51,1.87,3.74,0.1,0.58,15.21,16.54,41.53,0
0.85,0.94,0.34,1.53,1.44,0.67,0.87,1.82,8.46,2.98,0.51,1.87,3.74,0.1,0.58,15.21,16.54,41.53,0
0.51,0.85,0.26,1.02,1.25,0.67,4.5,5.26,14.32,3.4,0.94,2.89,4.76,0.1,1.06,12.91,14.54,40.6,0
0.6,0.85,0.17,0.94,0.58,0.29,18.07,13.29,34.79,3.83,1.96,3.66,6.12,0.2,1.25,11.76,13.48,42.260000000000005,0
2.81,1.36,0.68,3.32,0.2,4.59,21.23,16.26,50.45,4.08,2.98,4.5,6.88,0.2,1.63,11.29,12.53,44.089999999999996,0
3.74,1.96,0.85,3.74,0.2,5.07,20.65,15.49,51.7,4.67,3.32,5.44,7.48,0.2,2.01,10.43,11.76,45.31,0
4.67,2.3,1.28,3.57,0.39,4.98,19.6,13.29,50.08,6.37,5.61,9.68,8.33,0.2,2.2,7.84,8.32,48.55,0
5.44,2.64,2.04,3.49,0.39,5.26,17.21,11.67,48.14,7.48,6.8,10.96,8.83,0.1,2.01,5.36,4.59,46.129999999999995,0
6.54,3.66,3.06,3.49,0.48,5.65,14.73,10.23,47.84,9.68,8.66,12.06,9.0,0.1,1.82,0.96,0.67,42.95,0
7.48,4.93,4.33,3.91,0.48,5.65,11.57,8.23,46.58,11.3,9.34,12.06,8.66,0.2,1.63,0.29,0.39,43.87,0
8.83,6.54,5.78,5.18,0.48,5.45,8.04,5.07,45.370000000000005,11.47,8.07,11.47,7.31,0.39,0.87,0.1,0.39,40.07,0
10.28,11.3,12.32,9.94,0.48,3.73,1.63,1.06,50.739999999999995,9.26,4.67,9.09,4.84,0.48,0.67,0.1,0.2,29.31,0
9.68,10.79,13.08,10.11,0.67,2.01,0.77,1.15,48.26,4.59,2.38,3.91,2.47,0.48,0.58,0.1,0.1,14.610000000000001,0
8.49,6.88,13.5,7.22,1.15,0.96,0.67,1.25,40.120000000000005,4.59,2.38,3.91,2.47,0.48,0.58,0.1,0.1,14.610000000000001,0
5.1,4.84,5.78,3.06,1.53,0.87,0.67,1.25,23.1,2.47,0.34,1.19,1.45,0.58,0.67,0.2,0.1,6.999999999999999,0
2.81,2.13,3.23,1.62,1.15,0.58,0.67,1.34,13.53,2.38,0.34,1.02,0.94,0.58,0.77,0.0,0.0,6.029999999999999,0
0.51,0.51,1.36,0.94,1.25,0.58,0.77,1.44,7.359999999999999,2.3,0.26,0.94,0.6,0.58,0.77,0.2,0.1,5.75,0
