L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.7,0.68,0.85,0.85,0.96,1.44,0.29,1.92,8.69,2.64,1.02,1.36,1.36,0.39,1.73,0.96,2.11,11.57,1
1.96,0.77,1.02,1.02,1.06,1.63,1.34,1.63,10.43,2.64,2.47,1.87,1.36,0.2,1.34,5.36,3.35,18.59,1
1.79,0.77,1.11,1.11,1.06,1.53,1.53,1.73,10.629999999999999,2.72,5.1,4.08,2.38,0.2,1.63,7.84,4.59,28.54,1
1.87,0.94,1.19,1.45,1.06,1.44,3.83,2.11,13.889999999999999,2.72,5.86,5.61,2.98,0.29,2.2,8.32,5.07,33.050000000000004,1
2.04,1.19,1.53,2.55,1.06,1.44,9.56,4.5,23.870000000000005,2.89,6.54,7.39,3.32,0.29,2.97,9.47,6.12,38.99,1
2.21,1.45,2.13,3.91,0.96,1.44,12.62,7.18,31.899999999999995,3.06,7.05,10.7,3.74,0.29,5.07,10.33,7.08,47.31999999999999,1
2.21,1.79,3.06,5.01,0.87,1.73,15.68,10.23,40.58,3.4,7.9,12.66,4.5,0.39,5.65,10.33,7.08,51.91,1
2.21,2.04,3.91,5.95,0.87,2.11,16.73,11.95,45.769999999999996,3.91,9.43,14.44,4.93,0.39,5.84,8.99,6.22,54.14999999999999,1
2.3,2.3,4.17,6.46,0.96,2.4,17.12,11.67,47.379999999999995,6.37,11.89,17.58,5.52,0.2,5.65,2.68,3.83,53.72,1
2.38,2.55,4.67,6.63,0.96,2.49,16.45,10.23,46.36,7.99,14.52,19.96,5.61,0.2,3.83,0.0,2.59,54.699999999999996,1
2.55,2.81,5.18,6.88,0.96,2.59,16.16,10.04,47.17,8.58,13.67,19.96,3.23,0.48,2.39,0.0,2.3,50.61,1
2.72,4.08,6.63,7.56,1.06,2.78,14.54,8.42,47.790000000000006,8.41,9.6,16.56,1.19,0.48,2.01,0.0,2.01,40.26,1
2.81,5.18,9.85,7.99,0.96,2.49,9.37,4.5,43.15,6.37,7.73,6.37,0.85,0.67,1.53,0.0,1.92,25.44,1
3.32,6.12,12.23,8.75,0.58,1.44,0.87,2.01,35.32,2.21,6.29,4.17,0.77,0.87,1.53,0.0,2.01,17.85,1
1.87,4.08,3.32,4.42,0.96,1.15,0.0,2.01,17.810000000000002,1.36,2.04,1.36,0.94,0.77,1.53,0.0,2.01,10.01,1
1.62,0.94,1.36,2.47,0.77,1.15,0.0,2.11,10.42,1.53,0.68,1.19,1.28,0.67,1.63,0.0,2.11,9.09,1
1.79,0.68,1.36,1.87,0.96,1.34,0.0,2.11,10.110000000000001,2.13,0.43,1.11,1.45,0.77,1.73,0.0,2.3,9.92,1
1.96,0.77,1.36,1.62,1.06,1.44,0.0,2.2,10.41,2.21,0.43,1.11,1.53,0.77,1.73,0.0,2.39,10.170000000000002,1
1.96,0.77,1.28,1.36,1.06,1.53,0.0,2.2,10.16,2.3,0.43,1.11,1.53,0.77,1.73,0.0,2.39,10.260000000000002,1
2.04,0.77,1.28,1.28,1.15,1.44,0.0,2.2,10.16,2.38,0.34,1.11,1.53,0.58,1.73,0.0,2.39,10.059999999999999,1
2.13,0.77,1.45,1.28,0.77,1.25,0.0,0.67,8.32,2.47,0.34,1.19,1.7,0.58,1.73,0.0,2.3,10.309999999999999,1
1.7,0.77,0.94,1.19,0.96,1.44,2.2,0.87,10.07,2.3,0.26,1.11,1.45,0.48,1.63,5.07,4.5,16.799999999999997,1
1.96,1.02,1.36,2.3,1.15,1.44,2.97,1.63,13.83,2.3,0.26,1.02,1.53,0.48,1.44,10.04,8.32,25.39,1
