L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.02,0.68,0.51,0.43,0.96,0.87,0.96,0.0,5.43,0.43,1.11,0.43,0.77,1.25,0.87,1.44,0.39,6.69,0
1.19,0.68,0.17,0.51,1.06,0.87,0.96,0.0,5.44,0.43,1.11,0.51,0.68,1.34,0.77,8.13,2.68,15.650000000000002,0
1.28,0.68,0.0,0.6,1.06,0.87,0.96,0.0,5.45,0.51,0.0,0.43,0.51,0.77,1.82,17.6,8.32,29.96,0
1.36,0.77,0.0,0.6,1.06,0.96,1.06,0.0,5.8100000000000005,0.17,4.42,0.34,1.11,0.58,5.17,19.41,9.28,40.48,0
1.36,0.77,0.0,0.68,1.15,0.96,1.06,0.0,5.98,0.51,9.94,1.19,1.79,1.15,5.55,18.46,9.18,47.77,0
1.45,0.77,0.0,0.6,1.25,1.06,0.96,0.0,6.09,1.36,13.16,2.04,1.96,1.44,5.17,15.4,6.03,46.56,0
1.45,0.77,0.0,0.68,0.87,1.06,0.87,8.9,14.6,1.87,14.61,2.64,2.13,1.44,5.17,12.43,2.49,42.78,0
1.28,0.0,0.09,0.09,0.67,0.48,11.19,17.4,31.199999999999996,2.47,16.05,4.17,2.47,1.63,5.36,7.17,2.2,41.519999999999996,0
2.13,2.21,0.94,2.55,0.48,1.15,15.49,19.89,44.84,3.06,19.19,8.83,3.23,1.63,5.74,2.01,1.73,45.42,0
2.47,5.1,2.13,3.15,0.58,3.92,15.01,19.89,52.25,3.06,19.19,8.83,3.23,1.63,5.74,2.01,1.73,45.42,0
2.64,8.41,3.06,4.25,0.58,5.36,11.29,16.16,51.75,3.91,20.3,13.08,5.69,1.06,2.49,1.53,0.77,48.830000000000005,0
2.89,10.11,4.0,6.12,0.39,5.45,9.47,13.29,51.72,5.27,17.75,13.08,5.95,1.15,1.34,1.73,0.87,47.14,0
3.32,14.61,12.49,9.51,0.48,6.51,5.74,9.85,62.51,2.98,14.61,12.23,3.57,0.96,1.25,1.73,0.39,37.72,0
4.0,18.34,16.31,11.3,0.48,6.41,0.67,4.12,61.63,1.11,8.83,2.72,1.19,1.34,1.06,1.73,0.2,18.18,0
4.76,20.55,21.23,14.27,0.58,3.64,0.29,1.15,66.47,0.94,3.06,0.51,0.26,1.15,1.15,1.82,0.2,9.09,0
6.2,21.23,24.29,17.07,0.96,1.82,0.67,0.48,72.72,0.34,1.02,0.26,0.26,1.15,1.44,1.44,0.39,6.3,0
6.88,21.91,24.29,12.57,1.25,0.96,0.77,0.2,68.83000000000001,0.34,1.02,0.34,0.34,1.25,1.34,1.92,0.48,7.03,0
1.02,14.61,12.49,4.84,1.15,0.77,0.87,0.1,35.849999999999994,0.43,0.85,0.43,0.51,1.34,1.53,1.92,0.39,7.3999999999999995,0
0.51,4.93,5.27,1.7,0.48,0.87,0.87,0.0,14.63,0.43,0.77,0.43,0.51,1.44,1.63,2.11,0.39,7.71,0
0.51,1.45,1.87,0.85,0.77,0.87,0.67,0.0,6.99,0.6,0.77,0.43,0.51,1.34,1.73,2.2,0.39,7.970000000000001,0
0.85,1.11,0.85,0.51,0.96,0.96,0.96,0.0,6.199999999999999,0.68,0.85,0.43,0.6,1.44,1.63,2.2,0.29,8.120000000000001,0
1.11,1.02,0.09,0.51,1.06,0.96,1.06,0.0,5.8100000000000005,0.6,0.85,0.43,0.68,1.34,1.63,2.2,0.29,8.02,0
1.19,1.02,0.0,0.6,1.06,0.96,1.06,0.0,5.890000000000001,0.43,0.85,0.51,0.6,1.25,0.96,1.06,0.48,6.14,0
1.28,0.94,0.0,0.68,1.06,0.96,1.06,0.0,5.98,0.26,1.11,0.09,0.85,0.58,4.4,18.07,6.79,32.15,0
1.28,0.94,0.0,0.68,1.15,1.06,1.06,0.0,6.17,1.53,5.27,1.36,2.81,0.48,8.8,15.11,6.22,41.58,0
1.36,0.85,0.0,0.68,1.06,0.96,0.58,1.82,7.3100000000000005,2.38,7.14,2.64,4.0,0.77,9.18,13.1,4.31,43.519999999999996,0
1.11,0.43,0.0,0.68,0.67,0.48,10.71,15.68,29.759999999999998,2.38,7.14,2.98,4.76,0.39,10.23,10.33,1.63,39.84,0
2.04,2.13,0.94,2.13,0.39,0.77,14.44,18.07,40.910000000000004,2.21,6.63,2.98,5.61,0.58,11.0,6.41,1.53,36.95,0
2.47,8.24,2.3,3.23,0.2,2.78,15.49,19.89,54.6,2.04,6.71,3.23,6.37,0.67,11.67,2.11,1.25,34.05,0
2.72,13.08,3.57,4.0,0.29,4.59,12.34,16.16,56.75,2.04,6.63,4.25,7.39,0.67,12.34,1.53,1.25,36.1,0
2.89,15.71,6.37,5.1,0.2,4.12,9.95,13.29,57.629999999999995,2.21,9.0,6.88,8.07,0.58,11.0,1.53,0.67,39.94,0
3.06,16.9,10.11,6.29,0.2,3.92,8.32,11.76,60.56,2.81,12.32,9.17,8.16,0.77,6.89,1.63,0.39,42.14,0
3.06,16.9,10.11,6.29,0.2,3.92,8.32,11.76,60.56,3.15,14.01,10.87,9.17,0.87,3.16,1.63,0.48,43.34,0
4.33,21.23,16.31,9.43,0.39,3.73,0.77,3.64,59.83,2.81,12.82,11.04,8.92,0.96,1.06,1.82,0.67,40.1,0
4.33,21.23,16.31,9.43,0.39,3.73,0.77,3.64,59.83,1.7,7.82,7.99,5.1,0.96,0.96,1.92,0.39,26.84,0
8.49,21.91,23.61,10.53,1.06,1.06,0.87,0.2,67.72999999999999,1.45,5.52,1.53,2.38,1.15,0.87,1.92,0.2,15.02,0
8.49,21.91,23.61,10.53,1.06,1.06,0.87,0.2,67.72999999999999,0.34,1.96,0.6,0.77,0.87,0.87,1.92,0.29,7.62,0
0.34,12.23,9.0,1.02,0.96,0.87,0.96,0.0,25.38,0.26,1.19,0.43,0.6,1.06,1.15,1.82,0.48,6.99,0
