L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
3.06,1.87,0.34,1.36,1.34,1.63,0.96,0.0,10.559999999999999,0.85,1.02,1.02,1.28,0.77,2.3,1.92,0.77,9.93,0
3.15,1.79,0.34,1.45,1.44,1.63,1.06,0.0,10.86,0.85,1.02,0.94,0.34,0.77,1.82,15.97,11.0,32.71,0
3.15,1.7,0.34,1.45,1.63,1.63,1.06,0.0,10.96,0.85,0.77,0.68,1.36,0.1,1.63,21.9,13.87,41.16,0
3.06,1.45,0.26,1.7,0.96,1.53,6.12,9.37,24.449999999999996,0.77,0.85,0.77,2.47,0.48,3.35,23.04,13.48,45.209999999999994,0
2.98,1.02,0.77,3.66,1.15,0.96,16.26,21.71,48.51,0.77,1.53,0.94,2.81,0.77,4.5,21.32,13.87,46.50999999999999,0
3.15,1.7,0.85,5.1,1.15,1.34,17.6,22.76,53.65,0.77,4.25,1.7,3.15,0.87,5.07,16.93,11.29,44.029999999999994,0
3.32,2.64,0.85,5.35,1.25,3.64,15.97,22.28,55.3,0.77,11.13,3.4,3.4,0.96,3.73,15.3,7.75,46.44,0
3.4,4.17,1.45,7.73,1.25,7.56,11.48,16.73,53.769999999999996,0.77,16.98,8.41,3.83,0.87,3.45,11.67,3.83,49.81,0
3.49,4.84,2.55,10.19,1.06,9.09,9.37,14.06,54.65,0.26,19.53,14.1,5.1,0.29,2.68,2.2,2.68,46.84,0
3.57,5.78,5.27,11.81,0.87,8.42,6.31,11.38,53.41,0.0,20.13,16.98,5.78,0.58,2.2,1.82,1.34,48.83,0
3.57,8.41,10.62,12.49,0.67,6.31,1.15,5.45,48.67,0.68,19.53,18.17,4.76,0.58,2.01,1.82,0.77,48.32,0
3.57,10.62,13.25,12.74,0.67,4.59,0.67,1.82,47.93,0.94,17.41,16.22,2.3,0.39,2.11,1.92,0.58,41.870000000000005,0
3.91,11.3,15.2,12.74,0.77,2.97,0.67,0.87,48.43,0.94,10.87,10.87,1.87,1.25,2.01,2.01,0.48,30.299999999999997,0
4.17,13.08,16.39,11.13,0.96,2.3,0.67,0.0,48.7,0.51,5.86,1.96,0.85,2.01,2.11,2.11,0.1,15.509999999999998,0
4.76,13.67,17.07,8.07,1.15,0.96,0.87,0.0,46.55,0.6,1.7,0.68,0.77,0.67,2.3,2.2,0.1,9.02,0
4.42,9.85,13.42,5.78,1.25,0.96,0.87,0.0,36.55,0.77,1.62,0.68,0.94,0.67,2.2,2.3,0.1,9.28,0
2.3,4.84,8.66,3.66,1.06,0.96,0.87,0.0,22.35,0.77,1.45,0.77,1.02,0.77,2.39,2.3,0.1,9.57,0
2.13,2.3,2.13,1.28,0.67,1.06,0.96,0.0,10.53,0.85,1.36,0.85,1.19,0.87,2.3,2.3,0.1,9.82,0
2.38,1.53,1.28,1.02,1.06,1.06,0.96,0.0,9.29,0.85,1.19,0.77,1.28,0.87,2.39,2.39,0.1,9.84,0
