L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.02,0.43,0.51,0.51,0.67,1.06,0.67,0.1,4.97,0.85,1.02,1.19,1.19,0.87,1.53,1.53,0.58,8.76,1
1.36,0.6,0.6,0.68,0.77,1.06,0.67,0.1,5.84,0.6,0.68,0.68,0.51,0.48,1.25,11.67,4.69,20.56,1
1.36,0.6,0.6,0.68,0.77,1.06,0.77,0.2,6.04,1.02,0.43,0.94,1.87,0.39,1.92,13.58,6.41,26.560000000000002,1
1.53,0.68,0.6,0.68,0.77,1.15,0.77,0.29,6.470000000000001,1.11,0.6,1.45,3.32,0.39,2.87,16.26,9.09,35.09,1
1.62,0.77,0.68,0.77,0.87,1.15,0.87,0.29,7.02,1.19,1.45,2.3,4.0,0.48,3.35,15.87,9.37,38.01,1
1.7,0.77,0.68,0.85,0.87,1.15,0.87,0.2,7.09,1.28,1.79,2.38,3.74,0.48,2.3,14.63,7.75,34.35000000000001,1
1.7,0.94,0.77,0.85,0.96,1.15,0.67,0.39,7.43,1.28,1.87,2.47,3.4,0.67,2.3,13.58,6.79,32.36,1
1.7,0.94,0.77,0.85,0.96,1.15,0.67,0.39,7.43,1.11,1.96,2.55,3.74,0.87,2.97,14.25,6.98,34.43,1
1.7,0.85,0.77,0.85,0.87,1.15,5.93,8.9,21.020000000000003,1.11,2.81,3.66,4.76,0.87,3.45,13.2,6.03,35.89,1
1.79,0.68,1.36,4.0,0.58,0.58,14.06,15.68,38.730000000000004,1.28,6.2,8.66,6.37,0.96,3.64,10.04,2.39,39.540000000000006,1
1.79,0.68,1.36,4.0,0.58,0.58,14.06,15.68,38.730000000000004,2.04,9.94,12.74,8.83,0.67,2.68,1.73,1.92,40.55,1
1.79,1.36,1.36,5.35,0.67,1.06,14.25,16.35,42.19,3.91,12.06,15.46,9.0,0.87,2.39,2.2,1.25,47.14,1
1.96,1.62,1.45,5.95,0.77,1.63,14.06,16.35,43.790000000000006,5.44,10.45,13.67,3.06,0.87,1.63,2.3,1.06,38.480000000000004,1
1.96,1.96,1.28,4.5,0.67,0.77,13.58,15.3,40.02,2.38,6.03,5.95,0.85,0.77,2.01,2.49,0.96,21.44,1
1.96,1.79,1.02,4.0,0.77,0.67,12.72,14.06,36.99,0.68,0.85,1.02,0.17,0.87,2.01,2.59,0.96,9.149999999999999,1
2.04,2.21,0.94,4.5,0.87,1.15,11.48,11.67,34.86,0.51,0.68,0.68,0.51,0.96,2.01,2.68,1.34,9.370000000000001,1
2.21,4.5,1.96,5.95,0.87,1.82,10.14,10.71,38.160000000000004,0.68,0.68,0.77,0.68,0.96,2.2,2.87,1.34,10.18,1
2.47,8.49,5.44,7.73,0.96,2.2,8.42,8.99,44.7,0.68,0.77,0.77,0.77,0.96,2.3,2.97,1.44,10.66,1
3.74,18.0,13.42,11.72,0.39,1.44,0.48,2.39,51.580000000000005,0.77,0.77,0.77,0.94,1.06,2.2,2.97,1.53,11.01,1
5.18,17.49,15.88,8.33,0.77,0.96,0.48,0.87,49.959999999999994,0.85,0.85,0.85,1.02,1.06,2.3,3.06,1.53,11.52,1
5.61,11.89,7.9,2.89,0.77,0.87,0.67,0.29,30.89,0.77,0.94,0.85,1.02,1.06,2.39,3.06,1.44,11.530000000000001,1
1.11,0.34,0.51,0.51,0.67,0.96,0.67,0.1,4.87,0.77,0.94,0.85,1.02,1.06,2.3,3.06,1.44,11.44,1
1.11,0.34,0.51,0.51,0.67,0.96,0.67,0.1,4.87,0.85,1.02,0.94,0.94,0.96,1.82,0.96,0.87,8.36,1
1.53,0.51,0.6,0.6,0.77,1.06,0.87,0.29,6.23,0.68,0.6,0.6,0.26,0.2,0.58,8.8,3.35,15.07,1
1.62,0.6,0.6,0.68,0.87,1.06,0.87,0.29,6.59,0.77,0.26,1.19,2.13,0.1,1.82,13.87,5.65,25.79,1
1.62,0.6,0.6,0.68,0.87,1.06,0.87,0.29,6.59,0.85,1.62,2.13,3.4,0.2,2.59,16.26,8.7,35.75,1
1.79,0.68,0.68,0.68,0.87,1.15,0.96,0.29,7.1,0.94,1.79,2.72,4.25,0.29,3.16,15.01,9.09,37.25,1
1.79,0.68,0.68,0.77,0.96,1.15,0.87,0.29,7.1899999999999995,0.94,1.53,2.55,3.83,0.39,2.49,13.87,7.75,33.349999999999994,1
1.79,0.68,0.77,0.94,0.96,1.15,0.67,0.39,7.35,0.94,1.36,2.47,3.83,0.58,2.59,13.2,6.6,31.57,1
1.87,0.6,0.77,0.94,0.87,1.15,7.27,9.85,23.319999999999997,0.85,1.19,2.64,4.42,0.87,3.54,12.91,6.03,32.45,1
1.79,0.17,1.11,0.77,0.39,0.58,12.34,14.06,31.209999999999997,0.94,2.21,6.2,6.03,0.77,4.21,11.19,4.21,35.76,1
