L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.79,1.79,1.36,1.28,1.25,2.2,0.87,0.29,10.830000000000002,1.62,1.53,1.28,1.7,1.34,1.34,2.49,0.67,11.97,0
1.45,1.36,1.36,0.94,0.77,1.92,3.54,5.36,16.7,1.7,1.36,0.94,1.36,1.06,0.96,8.04,2.11,17.529999999999998,0
1.87,1.19,1.19,0.77,0.87,2.01,6.79,6.98,21.669999999999998,1.79,1.28,1.28,0.94,1.15,0.77,12.62,6.6,26.43,0
2.55,3.06,1.11,1.87,0.77,2.11,8.8,8.32,28.59,1.79,1.36,1.7,1.96,1.15,1.06,13.68,10.04,32.74,0
4.5,7.73,0.94,2.04,0.67,2.11,9.37,9.09,36.45,1.87,1.36,1.87,2.38,1.25,1.44,14.82,11.48,36.47,0
6.46,10.87,0.85,2.04,0.77,2.11,9.37,9.09,41.56,1.87,1.45,1.79,2.64,1.25,1.63,14.44,11.86,36.92999999999999,0
7.48,13.08,1.19,2.04,0.87,2.11,9.09,8.23,44.09,1.79,1.53,1.79,2.98,1.34,1.73,14.44,12.05,37.650000000000006,0
7.9,13.67,1.53,1.87,0.77,2.11,8.61,7.46,43.92,1.87,1.53,1.79,3.23,1.34,2.01,14.44,11.67,37.88,0
8.24,16.22,1.79,1.79,0.77,2.11,8.23,7.08,46.230000000000004,1.87,1.45,1.62,3.23,1.44,2.11,14.06,11.29,37.07,0
8.83,17.15,2.38,1.79,0.77,2.11,7.08,6.03,46.14,1.96,1.19,1.53,3.23,1.44,2.11,13.68,9.47,34.61,0
9.6,18.6,4.17,2.21,0.67,2.2,4.12,4.4,45.970000000000006,1.96,1.11,2.13,3.74,1.25,2.2,12.05,6.98,31.42,0
9.94,19.7,5.35,2.55,0.67,2.2,0.96,2.11,43.48,1.87,2.72,4.25,5.1,1.06,2.4,9.66,3.92,30.979999999999997,0
9.77,19.11,5.69,2.55,0.77,2.3,0.87,1.06,42.12,2.13,4.59,8.33,6.8,1.06,2.49,5.36,3.06,33.82,0
