L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
2.13,0.77,0.85,0.51,1.06,1.73,0.0,1.53,8.58,3.06,1.7,2.3,1.11,0.29,1.73,0.0,2.97,13.16,1
2.04,0.68,0.68,0.6,0.77,1.44,9.85,4.5,20.56,2.89,1.79,2.38,1.19,0.29,1.73,0.0,2.97,13.24,1
1.96,1.19,1.28,4.0,0.58,1.82,12.24,6.79,29.86,3.15,1.7,2.38,1.19,0.29,1.73,0.0,2.87,13.31,1
1.87,1.79,2.98,6.8,0.48,3.06,14.06,8.7,39.739999999999995,3.15,1.79,2.47,1.36,0.29,1.73,0.0,3.06,13.85,1
1.7,1.96,4.76,7.65,0.67,3.83,14.92,8.7,44.19,2.13,1.19,1.96,0.94,0.0,1.34,5.07,4.69,17.32,1
1.79,1.53,5.44,7.9,0.39,4.31,14.06,9.56,44.980000000000004,3.4,0.77,1.45,3.4,0.0,0.77,11.09,7.65,28.53,1
1.87,0.94,5.27,7.39,0.29,6.6,11.76,8.8,42.92,3.15,2.13,3.83,6.88,0.1,2.68,13.48,8.9,41.150000000000006,1
2.04,0.77,4.17,7.73,0.77,7.27,3.45,5.45,31.65,2.47,2.98,6.03,9.17,0.1,7.27,12.43,8.61,49.059999999999995,1
2.13,0.85,4.25,8.49,0.87,6.89,2.78,4.98,31.240000000000002,2.04,2.55,6.03,9.6,0.1,7.75,11.09,7.94,47.1,1
2.3,0.85,4.93,9.26,0.77,5.93,2.3,4.12,30.46,2.13,1.96,5.95,10.45,0.1,8.42,10.04,7.27,46.31999999999999,1
2.38,0.94,5.86,10.36,0.96,4.78,0.87,3.35,29.5,2.3,1.96,5.95,11.3,0.1,8.99,9.56,7.08,47.239999999999995,1
2.47,0.94,7.56,11.89,0.96,3.35,0.0,2.68,29.85,2.3,2.13,6.8,11.89,0.1,9.47,8.8,6.79,48.28,1
2.55,0.94,11.55,12.74,0.96,2.01,0.0,1.44,32.19,2.3,2.21,9.17,12.57,0.1,9.28,7.17,6.31,49.11,1
2.64,0.94,13.08,13.59,1.06,0.48,0.0,1.25,33.04,2.38,2.47,11.64,14.52,0.0,8.7,2.97,5.26,47.94,1
2.89,0.85,14.18,12.74,0.96,0.0,0.0,1.34,32.96,3.57,4.0,16.31,15.03,0.2,5.07,0.0,2.59,46.769999999999996,1
2.72,0.43,6.2,7.73,0.96,0.67,0.0,1.44,20.15,5.27,3.66,18.26,12.23,0.29,2.68,0.0,2.39,44.78,1
2.21,0.34,1.62,4.59,0.87,0.96,0.0,1.44,12.03,6.97,1.62,9.34,3.15,0.29,1.34,0.0,2.39,25.099999999999998,1
1.62,0.43,0.43,2.64,0.96,1.15,0.0,1.53,8.760000000000002,3.83,1.11,3.4,1.53,0.39,1.25,0.0,2.49,14.000000000000002,1
1.96,0.6,0.43,1.02,0.96,1.34,0.0,1.53,7.84,2.72,1.19,2.55,1.02,0.29,1.34,0.0,2.68,11.790000000000001,1
2.13,0.68,0.6,0.77,1.06,1.34,0.0,1.63,8.21,2.98,1.45,2.3,1.11,0.29,1.34,0.0,2.78,12.25,1
2.13,0.68,0.6,0.68,1.06,1.44,0.0,1.63,8.219999999999999,3.06,1.53,2.21,1.02,0.29,1.44,0.0,2.87,12.42,1
2.21,0.68,0.68,0.68,1.06,1.53,0.0,1.63,8.469999999999999,2.89,1.7,2.21,1.11,0.29,1.44,0.0,3.06,12.7,1
2.3,0.68,0.85,0.68,1.06,1.63,0.0,1.63,8.83,2.98,1.62,2.3,1.02,0.39,1.44,0.0,3.06,12.81,1
2.38,0.68,0.85,0.51,1.06,1.63,0.0,1.63,8.74,3.23,1.7,2.38,1.28,0.29,1.44,0.0,3.06,13.379999999999999,1
2.13,0.43,0.77,2.64,0.77,1.44,10.04,4.69,22.910000000000004,3.4,1.79,2.38,1.28,0.29,1.53,0.0,2.68,13.35,1
2.04,0.85,2.04,7.14,0.58,2.49,11.67,6.51,33.32,3.49,1.19,1.79,0.6,0.1,0.96,7.17,5.07,20.37,1
1.7,1.53,4.93,8.75,0.58,3.26,11.38,6.79,38.92,4.25,0.94,1.53,3.57,0.0,0.77,10.62,6.89,28.569999999999997,1
1.96,2.04,7.39,9.6,0.77,3.73,10.71,6.41,42.61,4.59,2.3,3.74,6.54,0.1,1.53,11.67,7.56,38.03,1
2.13,2.55,8.07,9.77,0.87,3.45,10.52,6.12,43.480000000000004,3.66,4.17,7.39,9.43,0.1,6.51,11.67,7.94,50.87,1
2.55,3.49,10.28,10.36,0.77,3.06,9.47,5.55,45.53,2.98,4.33,8.66,9.85,0.1,6.7,11.09,7.75,51.46,1
2.89,4.0,11.3,10.36,0.77,2.97,7.17,4.69,44.15,2.55,4.17,9.68,9.85,0.1,6.98,10.71,7.65,51.69,1
2.98,4.5,12.15,10.79,0.77,2.97,6.6,4.5,45.26,2.55,4.0,10.28,10.45,0.1,7.56,11.0,7.56,53.5,1
2.98,4.84,12.4,10.53,0.87,2.97,7.46,4.78,46.83,2.55,3.83,10.53,10.7,0.2,8.13,11.38,7.84,55.16,1
