L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
2.04,0.85,0.94,1.02,1.15,2.11,0.0,2.01,10.12,2.81,1.87,2.55,0.77,0.1,1.73,0.0,2.01,11.84,1
1.96,0.77,0.94,1.02,1.15,1.92,5.17,2.2,15.129999999999999,2.98,1.87,2.55,1.11,0.1,1.53,0.2,2.3,12.64,1
2.13,0.77,1.02,1.19,0.96,1.82,9.18,3.64,20.71,3.06,1.87,2.3,1.7,0.1,1.44,0.96,2.59,14.02,1
2.21,0.77,0.94,1.62,0.87,1.73,12.62,6.22,26.98,3.23,2.13,2.72,2.47,0.1,1.53,2.2,2.87,17.25,1
2.38,0.77,1.02,2.98,0.77,2.11,14.92,8.32,33.27,3.49,2.47,2.98,2.89,0.1,1.63,3.26,3.16,19.980000000000004,1
2.47,0.94,0.94,4.59,0.67,2.87,16.45,9.37,38.3,3.66,2.72,3.32,3.06,0.1,1.73,4.12,3.35,22.060000000000002,1
2.3,1.11,1.7,6.03,0.67,3.54,16.45,9.76,41.56,3.49,3.15,3.49,3.15,0.1,1.63,5.45,3.64,24.1,1
2.38,1.79,2.72,7.14,0.77,3.73,15.4,8.8,42.730000000000004,3.32,3.06,3.91,4.42,0.1,1.63,7.94,4.69,29.07,1
2.38,1.79,2.72,7.14,0.77,3.73,15.4,8.8,42.730000000000004,3.74,3.32,4.08,5.44,0.1,1.82,9.18,5.45,33.129999999999995,1
2.81,4.59,5.52,8.58,1.06,3.92,12.91,7.18,46.57,3.74,3.32,4.5,6.54,0.1,3.92,10.43,6.6,39.150000000000006,1
3.06,5.61,8.58,9.43,0.96,3.64,11.38,5.93,48.59,4.08,3.49,4.93,7.39,0.1,6.22,11.95,7.84,46.0,1
3.49,6.2,10.45,10.36,0.67,3.45,9.76,4.88,49.260000000000005,4.5,3.57,5.35,8.16,0.2,7.17,12.43,8.42,49.8,1
3.32,6.12,11.81,10.79,0.58,3.26,6.98,4.02,46.879999999999995,4.93,3.57,5.52,8.33,0.2,7.27,12.24,8.51,50.57,1
3.32,5.61,12.74,11.89,0.48,3.16,3.73,3.35,44.28,4.84,3.06,5.44,8.75,0.29,7.46,11.95,8.51,50.300000000000004,1
