L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
2.04,0.77,0.85,0.34,0.96,1.73,0.0,0.96,7.65,1.45,1.53,2.38,0.68,0.29,1.53,0.0,2.39,10.25,1
1.96,0.68,0.6,1.19,0.67,1.34,11.29,6.6,24.330000000000002,2.04,1.53,2.21,1.02,0.2,1.73,0.0,2.59,11.32,1
1.79,1.11,1.19,5.01,0.39,2.11,15.68,8.8,36.08,2.3,1.62,2.13,1.02,0.2,1.73,0.0,2.78,11.780000000000001,1
1.62,1.45,2.38,6.71,0.48,2.97,19.12,10.62,45.35000000000001,2.47,1.53,2.13,1.02,0.2,1.73,0.0,2.87,11.95,1
1.7,1.45,3.15,7.39,0.58,3.54,19.89,11.29,48.989999999999995,2.55,1.53,2.21,1.11,0.2,1.73,0.0,2.87,12.2,1
1.87,1.36,3.49,7.99,0.48,4.02,18.07,11.0,48.28,2.55,1.62,2.21,1.02,0.2,1.73,0.0,2.97,12.3,1
1.96,1.28,4.08,8.49,0.39,3.83,15.4,9.76,45.19,2.64,1.62,2.21,1.11,0.2,1.82,0.0,2.78,12.379999999999999,1
2.04,1.28,4.42,9.0,0.48,3.54,14.25,8.99,44.0,2.64,1.62,2.21,1.28,0.2,1.82,0.0,2.78,12.55,1
2.13,1.53,5.01,9.34,0.58,3.06,13.29,7.18,42.12,2.64,1.62,2.21,1.28,0.2,1.82,0.0,2.78,12.55,1
1.79,3.83,9.34,9.34,0.48,2.4,12.24,5.55,44.97,2.72,1.02,1.96,1.02,0.0,1.34,7.65,5.45,21.160000000000004,1
1.53,6.03,12.4,10.7,0.39,2.11,8.9,3.64,45.7,6.12,2.3,2.13,4.17,0.2,1.06,14.06,8.9,38.94,1
2.04,7.9,15.88,11.81,0.48,1.44,0.39,1.63,41.57,6.8,4.33,4.08,5.01,0.2,1.63,14.25,9.37,45.669999999999995,1
2.81,8.66,17.83,12.4,0.67,0.77,0.0,1.15,44.28999999999999,4.25,4.84,4.93,6.29,0.1,4.78,11.95,7.75,44.89,1
