L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.96,2.04,0.94,1.19,1.53,1.06,0.87,0.0,9.59,0.17,0.6,0.68,0.43,1.44,1.25,0.87,0.96,6.3999999999999995,0
1.96,2.04,0.94,1.19,1.53,1.06,0.87,0.0,9.59,0.09,1.11,0.68,0.77,0.29,3.26,13.87,6.6,26.67,0
2.21,1.96,0.85,1.19,1.44,1.15,0.87,0.0,9.67,0.68,1.62,1.11,2.21,0.58,7.37,13.87,4.12,31.56,0
2.21,1.96,0.85,1.19,1.44,1.15,0.87,0.0,9.67,1.45,3.4,1.7,3.15,1.25,10.33,15.11,8.61,45.0,0
2.13,1.02,1.11,0.77,0.67,0.67,10.04,11.95,28.36,2.38,4.93,2.38,3.83,1.92,11.86,15.4,8.7,51.400000000000006,0
2.13,1.02,1.11,0.77,0.67,0.67,10.04,11.95,28.36,2.98,5.78,3.4,5.01,2.49,12.53,15.11,7.56,54.86,0
2.55,4.08,2.55,4.25,1.06,1.06,13.1,14.25,42.900000000000006,3.49,6.71,4.17,6.2,2.87,12.15,13.87,5.65,55.11,0
2.72,5.18,3.66,5.01,1.63,1.63,15.21,18.07,53.11,3.74,7.05,4.93,6.88,2.68,12.82,10.33,4.21,52.64,0
3.06,6.88,5.27,6.12,2.39,4.21,16.16,19.12,63.21,3.83,7.82,6.54,7.73,2.59,12.53,3.26,3.54,47.84,0
3.23,9.09,6.88,6.12,2.87,4.12,16.16,20.37,68.84,4.08,8.92,10.19,8.66,2.01,12.53,1.92,2.87,51.18,0
3.15,10.96,6.71,5.44,3.35,3.26,15.78,19.12,67.77,4.17,9.6,13.08,10.19,0.87,12.53,1.92,1.73,54.089999999999996,0
3.23,12.06,6.2,4.59,4.31,2.59,15.21,19.12,67.31,4.0,9.43,15.63,12.82,0.67,7.84,1.73,1.15,53.27,0
3.4,13.76,5.86,4.17,5.26,2.3,14.73,17.4,66.88,4.0,4.76,13.5,5.35,1.15,0.87,1.82,0.48,31.93,0
3.4,13.76,5.86,4.17,5.26,2.3,14.73,17.4,66.88,1.7,4.08,4.42,1.96,1.06,1.15,1.82,0.29,16.48,0
3.83,15.54,6.63,4.17,6.12,2.68,13.58,15.4,67.95,1.79,2.72,1.11,1.11,1.25,1.25,1.92,0.1,11.25,0
5.1,17.24,10.28,5.44,6.22,5.26,10.43,12.62,72.59,1.36,0.68,0.68,0.77,1.25,1.25,1.92,0.1,8.01,0
7.65,18.68,11.98,6.71,5.17,5.26,7.75,9.85,73.05,0.77,0.85,0.77,0.43,1.34,1.53,2.01,0.29,7.99,0
10.28,18.68,17.49,8.33,0.67,1.92,0.87,2.39,60.63,0.26,0.68,0.68,0.26,1.44,1.63,2.11,0.29,7.35,0
8.07,12.06,10.28,2.89,0.96,1.34,0.58,0.96,37.14,0.17,0.77,0.77,0.17,1.44,1.63,2.11,0.39,7.45,0
8.07,12.06,10.28,2.89,0.96,1.34,0.58,0.96,37.14,0.26,0.85,0.68,0.17,1.44,1.73,2.2,0.29,7.62,0
1.02,8.66,6.8,1.36,1.15,1.15,0.67,0.0,20.81,0.43,0.68,0.68,0.26,1.53,1.73,2.2,0.39,7.9,0
1.28,2.81,3.23,1.53,1.06,0.96,0.77,0.0,11.64,0.43,0.77,0.68,0.34,1.53,1.73,2.2,0.39,8.07,0
1.7,2.21,2.3,1.36,1.25,1.06,0.87,0.0,10.75,0.51,0.77,0.68,0.43,1.53,1.92,2.3,0.29,8.43,0
1.96,2.04,1.36,1.19,1.25,1.15,0.96,0.0,9.91,0.34,0.68,0.51,0.34,0.87,1.92,10.43,5.07,20.16,0
2.47,2.04,0.94,1.11,1.34,1.15,1.06,0.0,10.11,0.34,1.36,1.02,1.11,0.67,3.26,13.87,3.64,25.269999999999996,0
2.04,0.94,1.28,3.23,0.77,0.48,0.48,1.25,10.47,0.94,2.47,1.45,2.98,0.58,9.47,13.87,4.5,36.26,0
2.72,2.3,2.04,6.03,0.87,2.2,0.77,2.2,19.130000000000003,1.53,3.49,2.13,4.08,1.15,11.86,14.82,8.23,47.290000000000006,0
2.64,4.93,4.59,7.31,1.06,3.16,3.64,7.08,34.41,2.04,4.08,2.64,4.76,1.73,12.82,15.11,8.99,52.17,0
3.15,8.75,7.73,7.05,2.01,3.64,8.61,10.71,51.65,2.64,4.93,3.4,6.12,2.2,12.82,14.15,7.08,53.34,0
3.66,9.94,8.83,7.31,2.59,4.98,9.76,12.72,59.790000000000006,2.64,4.93,3.4,6.12,2.2,12.82,14.15,7.08,53.34,0
4.25,12.66,9.68,7.65,3.73,5.17,9.95,12.72,65.81,3.4,6.71,5.52,8.16,2.49,12.82,7.65,3.92,50.67,0
7.82,17.24,11.04,7.31,5.74,4.88,7.84,9.47,71.34,3.57,7.05,7.73,8.66,2.2,13.1,2.3,3.26,47.87,0
8.92,18.17,11.47,7.39,5.65,4.31,6.51,7.94,70.36,4.0,7.82,11.04,9.51,1.63,13.1,2.3,2.78,52.18,0
10.19,18.68,12.15,7.39,4.88,3.54,4.78,6.6,68.21,4.25,8.92,13.25,11.55,0.87,11.86,2.01,1.44,54.15,0
10.87,18.17,12.74,7.65,3.73,2.68,2.01,5.36,63.21,3.57,8.24,15.88,13.08,0.87,7.18,1.82,1.15,51.790000000000006,0
11.55,19.19,13.5,7.99,2.87,2.39,1.44,3.83,62.760000000000005,2.64,3.91,12.66,5.01,1.25,0.77,2.01,0.39,28.64,0
11.38,18.68,13.33,8.33,2.68,2.2,1.15,2.97,60.72,1.79,3.66,3.66,1.87,1.15,1.25,1.92,0.29,15.59,0
11.72,18.68,12.74,7.99,2.11,1.92,0.77,2.78,58.709999999999994,1.79,1.96,1.02,1.19,1.25,1.44,2.01,0.2,10.86,0
11.04,19.79,12.15,7.56,1.15,1.15,0.58,2.39,55.81,1.79,1.96,1.02,1.19,1.25,1.44,2.01,0.2,10.86,0
7.22,16.73,4.84,0.85,1.06,1.06,0.67,1.53,33.96,1.19,0.85,0.77,0.77,1.34,1.53,2.01,0.29,8.75,0
4.5,14.78,2.04,0.34,1.25,1.06,0.77,0.96,25.7,0.17,1.02,0.77,0.17,1.53,1.73,2.11,0.39,7.89,0
2.55,11.81,1.79,0.34,1.34,1.15,0.77,0.67,20.419999999999998,0.26,0.94,0.77,0.17,1.53,1.82,2.2,0.39,8.08,0
1.45,1.11,0.6,0.51,1.34,1.15,0.77,0.58,7.51,0.34,0.94,0.77,0.17,1.63,1.82,2.2,0.39,8.260000000000002,0
1.45,1.11,0.6,0.51,1.34,1.15,0.77,0.58,7.51,0.43,1.02,0.85,0.26,1.63,1.92,2.3,0.48,8.89,0
1.87,1.02,0.17,0.68,1.53,1.25,0.77,0.67,7.960000000000001,0.51,1.02,0.85,0.34,1.63,1.92,2.3,0.39,8.96,0
1.87,1.02,0.17,0.68,1.53,1.25,0.77,0.67,7.960000000000001,0.51,0.85,0.85,0.43,1.53,1.92,2.39,0.39,8.870000000000001,0
2.04,1.11,0.09,0.77,1.63,1.34,0.77,0.77,8.52,0.43,0.68,0.68,0.34,0.96,2.39,6.79,3.06,15.329999999999998,0
2.3,1.19,0.17,0.77,1.63,1.34,0.77,0.58,8.75,0.68,1.45,0.85,1.28,0.67,3.54,13.87,3.26,25.6,0
2.21,0.94,0.26,0.94,1.53,1.06,0.58,1.15,8.67,1.7,3.15,1.53,2.98,0.77,8.51,14.44,4.02,37.1,0
2.21,0.94,0.26,0.94,1.53,1.06,0.58,1.15,8.67,2.81,4.76,2.38,4.0,1.63,11.38,15.11,7.17,49.24000000000001,0
2.55,3.57,2.81,2.89,0.77,0.67,10.14,13.68,37.08,3.74,6.29,3.32,5.01,2.39,11.86,14.44,5.84,52.89,0
2.55,3.57,2.81,2.89,0.77,0.67,10.14,13.68,37.08,4.33,7.39,4.33,6.54,2.59,12.15,12.24,4.12,53.69,0
