L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
0.6,2.98,4.08,1.87,0.96,0.67,0.67,0.0,11.830000000000002,0.34,0.6,0.6,0.17,1.44,1.82,2.11,0.39,7.47,0
1.36,1.79,1.79,1.11,1.25,0.77,0.87,0.0,8.940000000000001,0.43,0.68,0.6,0.26,1.44,1.92,2.11,0.48,7.92,0
1.53,1.79,1.02,0.94,1.25,0.77,0.87,0.0,8.17,0.51,0.68,0.6,0.34,1.53,1.92,2.2,0.48,8.260000000000002,0
1.79,1.87,0.85,0.94,1.34,0.77,0.87,0.0,8.43,0.51,0.85,0.6,0.34,1.53,2.01,2.2,0.39,8.43,0
1.87,1.87,0.85,1.02,1.34,0.77,0.77,0.0,8.49,0.43,0.51,0.6,0.34,1.53,1.73,2.2,0.39,7.7299999999999995,0
2.04,1.87,0.77,1.02,1.44,0.87,0.87,0.0,8.88,0.51,0.34,0.6,0.43,1.44,1.44,1.25,0.77,6.78,0
1.79,1.7,0.68,1.11,1.34,0.87,0.67,0.0,8.16,0.34,0.6,0.6,0.43,0.48,2.49,13.1,3.92,21.959999999999997,0
1.87,1.53,1.02,1.28,0.77,0.48,8.51,12.62,28.08,1.11,1.79,0.94,1.28,0.67,2.78,13.1,2.49,24.16,0
2.38,3.23,4.08,5.27,0.67,2.49,14.73,17.69,50.54,2.47,3.74,1.53,2.55,1.25,8.32,15.11,4.5,39.47,0
2.55,3.23,4.42,6.12,0.77,4.69,15.21,19.89,56.88,2.47,3.74,1.53,2.55,1.25,8.32,15.11,4.5,39.47,0
2.55,3.06,4.59,6.88,0.87,6.7,15.01,21.23,60.89,4.0,6.8,3.06,4.08,2.78,11.86,14.15,4.98,51.71000000000001,0
2.72,3.06,4.76,7.65,0.96,8.32,13.29,18.74,59.5,4.0,6.8,3.06,4.08,2.78,11.86,14.15,4.98,51.71000000000001,0
2.72,3.49,6.46,8.75,1.25,8.61,12.53,17.69,61.5,5.18,8.92,5.01,6.29,3.06,11.57,9.95,3.73,53.71,0
2.89,4.93,9.34,8.41,1.82,8.32,11.96,17.12,64.78999999999999,5.35,9.43,6.46,6.8,2.97,11.09,3.45,3.06,48.61,0
3.15,8.24,11.04,8.16,2.87,7.65,11.29,15.4,67.8,5.61,10.19,9.26,7.48,2.59,11.09,2.49,2.68,51.39000000000001,0
4.0,14.44,14.69,9.34,3.83,6.89,8.9,11.95,74.03999999999999,5.95,12.15,14.44,10.7,0.58,6.51,1.63,0.96,52.92,0
4.67,15.88,15.54,9.85,3.35,6.41,6.7,9.37,71.77,5.18,9.26,15.29,11.21,0.87,3.06,1.73,0.77,47.37,0
7.9,18.17,20.55,10.02,1.44,5.07,1.63,4.98,69.76,4.76,4.84,12.66,4.08,1.06,1.15,1.82,0.48,30.85,0
9.51,19.79,22.76,10.79,0.48,2.3,0.58,2.01,68.22,4.76,4.84,12.66,4.08,1.06,1.15,1.82,0.48,30.85,0
10.79,19.79,22.16,8.33,0.67,1.25,0.48,0.87,64.34,2.81,2.04,0.85,0.85,1.15,1.44,1.92,0.2,11.26,0
8.92,15.54,12.15,4.25,1.06,0.87,0.67,0.0,43.46,2.13,0.51,0.6,0.51,1.25,1.53,1.92,0.39,8.84,0
0.17,11.13,9.51,2.38,1.15,0.67,0.67,0.0,25.68,1.19,0.68,0.68,0.17,1.34,1.82,2.01,0.39,8.280000000000001,0
1.62,1.79,1.53,1.11,1.25,0.48,0.87,0.0,8.65,1.19,0.68,0.68,0.17,1.34,1.82,2.01,0.39,8.280000000000001,0
1.62,1.79,1.53,1.11,1.25,0.48,0.87,0.0,8.65,0.51,0.77,0.6,0.17,1.34,1.92,2.2,0.39,7.8999999999999995,0
1.62,1.79,0.94,0.94,1.25,0.58,0.87,0.0,7.99,0.51,0.68,0.68,0.26,1.44,2.01,2.2,0.39,8.17,0
1.7,1.7,0.68,1.02,1.25,0.58,0.77,0.0,7.699999999999999,0.6,0.68,0.6,0.26,1.44,2.01,2.2,0.48,8.27,0
1.87,1.7,0.77,1.11,1.34,0.67,0.96,0.0,8.42,0.6,0.68,0.68,0.34,1.44,2.11,2.2,0.39,8.440000000000001,0
1.87,1.62,0.68,1.19,1.25,0.67,0.58,0.1,7.96,0.51,0.43,0.51,0.34,1.44,1.25,1.82,0.58,6.88,0
